question_id,split_name,image_count,answer_source
4271,multi_train,3,Non-Span
4272,multi_train,3,Multi-Image Spans
4273,multi_train,3,Cross-Image Synthesis
4274,multi_train,3,Cross-Image Synthesis
1255,multi_train,3,Multi-Image Spans
1257,multi_train,3,Multi-Image Spans
7664,multi_train,3,Non-Span
8065,multi_train,4,Multi-Image Spans
7525,multi_train,4,Non-Span
7526,multi_train,4,Non-Span
7527,multi_train,4,Multi-Image Spans
3710,multi_train,2,Multi-Image Spans
3711,multi_train,2,Multi-Image Spans
3712,multi_train,2,Cross-Image Synthesis
3714,multi_train,2,Cross-Image Synthesis
3715,multi_train,2,Cross-Image Synthesis
2862,multi_train,3,Non-Span
2863,multi_train,3,Cross-Image Synthesis
2868,multi_train,3,Multi-Image Spans
2869,multi_train,3,Non-Span
2870,multi_train,3,Multi-Image Spans
2871,multi_train,3,Multi-Image Spans
2872,multi_train,3,Non-Span
2866,multi_train,3,Multi-Image Spans
2867,multi_train,3,Multi-Image Spans
567,multi_train,3,Multi-Image Spans
571,multi_train,3,Non-Span
284,multi_train,3,Multi-Image Spans
285,multi_train,3,Multi-Image Spans
8207,multi_train,2,Multi-Image Spans
694,multi_train,3,Multi-Image Spans
695,multi_train,3,Multi-Image Spans
685,multi_train,2,Multi-Image Spans
686,multi_train,2,Multi-Image Spans
687,multi_train,2,Multi-Image Spans
688,multi_train,3,Multi-Image Spans
689,multi_train,3,Multi-Image Spans
690,multi_train,3,Multi-Image Spans
692,multi_train,3,Multi-Image Spans
693,multi_train,3,Multi-Image Spans
7180,multi_train,2,Non-Span
7182,multi_train,2,Multi-Image Spans
5544,multi_train,2,Multi-Image Spans
2647,multi_train,3,Multi-Image Spans
2651,multi_train,3,Multi-Image Spans
2652,multi_train,3,Multi-Image Spans
8665,multi_train,3,Multi-Image Spans
8666,multi_train,3,Cross-Image Synthesis
3057,multi_train,3,Cross-Image Synthesis
3058,multi_train,3,Cross-Image Synthesis
3059,multi_train,3,Multi-Image Spans
3060,multi_train,3,Cross-Image Synthesis
3061,multi_train,3,Non-Span
3062,multi_train,3,Non-Span
3063,multi_train,3,Multi-Image Spans
3064,multi_train,3,Multi-Image Spans
3065,multi_train,3,Multi-Image Spans
3066,multi_train,3,Non-Span
3068,multi_train,3,Multi-Image Spans
3798,multi_train,3,Multi-Image Spans
3799,multi_train,3,Non-Span
3800,multi_train,3,Multi-Image Spans
3794,multi_train,3,Multi-Image Spans
3795,multi_train,3,Non-Span
3797,multi_train,3,Multi-Image Spans
650,multi_train,3,Non-Span
651,multi_train,3,Cross-Image Synthesis
652,multi_train,3,Multi-Image Spans
653,multi_train,3,Cross-Image Synthesis
654,multi_train,3,Cross-Image Synthesis
655,multi_train,3,Non-Span
656,multi_train,3,Multi-Image Spans
658,multi_train,3,Cross-Image Synthesis
659,multi_train,3,Non-Span
660,multi_train,3,Multi-Image Spans
6383,multi_train,2,Non-Span
6384,multi_train,2,Cross-Image Synthesis
6385,multi_train,2,Cross-Image Synthesis
5278,multi_train,2,Non-Span
5279,multi_train,2,Cross-Image Synthesis
5280,multi_train,2,Cross-Image Synthesis
1913,multi_train,2,Non-Span
1914,multi_train,2,Multi-Image Spans
1915,multi_train,2,Multi-Image Spans
2805,multi_train,3,Non-Span
2806,multi_train,3,Cross-Image Synthesis
2807,multi_train,3,Non-Span
2808,multi_train,3,Cross-Image Synthesis
2809,multi_train,3,Multi-Image Spans
2810,multi_train,3,Non-Span
2812,multi_train,3,Cross-Image Synthesis
2321,multi_train,4,Non-Span
2323,multi_train,4,Multi-Image Spans
7249,multi_train,2,Cross-Image Synthesis
7250,multi_train,2,Multi-Image Spans
7254,multi_train,3,Multi-Image Spans
7255,multi_train,2,Multi-Image Spans
3184,multi_train,3,Non-Span
3185,multi_train,3,Multi-Image Spans
3181,multi_train,3,Multi-Image Spans
3182,multi_train,3,Multi-Image Spans
4028,multi_train,4,Multi-Image Spans
8256,multi_train,2,Cross-Image Synthesis
8257,multi_train,2,Non-Span
8258,multi_train,2,Cross-Image Synthesis
8259,multi_train,2,Cross-Image Synthesis
8260,multi_train,2,Multi-Image Spans
392,multi_train,2,Non-Span
393,multi_train,2,Cross-Image Synthesis
394,multi_train,2,Multi-Image Spans
395,multi_train,2,Non-Span
702,multi_train,3,Multi-Image Spans
703,multi_train,3,Non-Span
704,multi_train,3,Multi-Image Spans
705,multi_train,3,Non-Span
706,multi_train,3,Non-Span
696,multi_train,3,Multi-Image Spans
699,multi_train,3,Non-Span
700,multi_train,3,Multi-Image Spans
701,multi_train,3,Non-Span
709,multi_train,3,Multi-Image Spans
57,multi_train,4,Non-Span
59,multi_train,4,Non-Span
60,multi_train,4,Multi-Image Spans
56,multi_train,4,Cross-Image Synthesis
58,multi_train,4,Non-Span
3001,multi_train,3,Multi-Image Spans
2992,multi_train,3,Cross-Image Synthesis
2993,multi_train,3,Multi-Image Spans
2994,multi_train,3,Non-Span
2995,multi_train,3,Multi-Image Spans
2997,multi_train,3,Cross-Image Synthesis
7907,multi_train,3,Non-Span
9456,multi_train,3,Non-Span
9457,multi_train,3,Non-Span
9458,multi_train,3,Multi-Image Spans
9452,multi_train,3,Cross-Image Synthesis
9453,multi_train,3,Multi-Image Spans
9454,multi_train,3,Non-Span
9455,multi_train,3,Multi-Image Spans
9459,multi_train,3,Non-Span
9460,multi_train,3,Non-Span
7634,multi_train,3,Multi-Image Spans
7635,multi_train,3,Multi-Image Spans
7636,multi_train,3,Non-Span
7637,multi_train,3,Cross-Image Synthesis
8184,multi_train,2,Non-Span
4616,multi_train,3,Multi-Image Spans
4617,multi_train,3,Non-Span
4618,multi_train,3,Cross-Image Synthesis
5084,multi_train,3,Cross-Image Synthesis
5086,multi_train,3,Multi-Image Spans
5087,multi_train,3,Non-Span
5088,multi_train,3,Multi-Image Spans
5076,multi_train,3,Cross-Image Synthesis
5077,multi_train,3,Non-Span
5078,multi_train,3,Non-Span
5079,multi_train,3,Multi-Image Spans
5080,multi_train,3,Non-Span
5081,multi_train,3,Multi-Image Spans
5082,multi_train,3,Cross-Image Synthesis
5869,multi_train,3,Multi-Image Spans
5870,multi_train,3,Non-Span
5872,multi_train,3,Multi-Image Spans
5873,multi_train,3,Multi-Image Spans
5874,multi_train,3,Multi-Image Spans
5875,multi_train,3,Non-Span
8336,multi_train,3,Cross-Image Synthesis
8337,multi_train,3,Non-Span
1500,multi_train,2,Non-Span
1501,multi_train,2,Cross-Image Synthesis
1502,multi_train,2,Multi-Image Spans
7598,multi_train,4,Multi-Image Spans
7599,multi_train,4,Multi-Image Spans
7600,multi_train,4,Non-Span
7601,multi_train,4,Cross-Image Synthesis
7602,multi_train,4,Multi-Image Spans
3623,multi_train,3,Cross-Image Synthesis
3624,multi_train,3,Cross-Image Synthesis
3625,multi_train,3,Multi-Image Spans
3628,multi_train,3,Cross-Image Synthesis
3629,multi_train,3,Non-Span
3630,multi_train,3,Multi-Image Spans
3632,multi_train,3,Multi-Image Spans
4230,multi_train,3,Multi-Image Spans
4231,multi_train,3,Multi-Image Spans
4232,multi_train,3,Non-Span
4234,multi_train,3,Cross-Image Synthesis
4221,multi_train,3,Multi-Image Spans
4222,multi_train,3,Non-Span
4223,multi_train,3,Non-Span
4225,multi_train,3,Multi-Image Spans
4227,multi_train,3,Cross-Image Synthesis
4229,multi_train,3,Non-Span
1055,multi_train,3,Cross-Image Synthesis
1056,multi_train,3,Non-Span
1057,multi_train,3,Multi-Image Spans
1388,multi_train,2,Multi-Image Spans
1389,multi_train,2,Multi-Image Spans
4489,multi_train,4,Multi-Image Spans
4490,multi_train,4,Non-Span
4491,multi_train,4,Multi-Image Spans
4488,multi_train,4,Non-Span
5196,multi_train,2,Non-Span
5197,multi_train,2,Multi-Image Spans
5198,multi_train,2,Multi-Image Spans
8948,multi_train,3,Multi-Image Spans
8949,multi_train,3,Non-Span
8950,multi_train,3,Multi-Image Spans
8951,multi_train,3,Non-Span
8953,multi_train,3,Multi-Image Spans
8956,multi_train,3,Cross-Image Synthesis
8957,multi_train,3,Cross-Image Synthesis
8958,multi_train,3,Multi-Image Spans
8954,multi_train,3,Non-Span
8903,multi_train,3,Multi-Image Spans
8901,multi_train,2,Multi-Image Spans
8902,multi_train,2,Cross-Image Synthesis
8904,multi_train,2,Non-Span
8905,multi_train,2,Multi-Image Spans
8906,multi_train,2,Cross-Image Synthesis
8907,multi_train,2,Non-Span
1627,multi_train,2,Multi-Image Spans
1629,multi_train,2,Multi-Image Spans
1630,multi_train,2,Multi-Image Spans
6571,multi_train,2,Multi-Image Spans
6572,multi_train,2,Non-Span
6573,multi_train,2,Cross-Image Synthesis
6574,multi_train,2,Multi-Image Spans
148,multi_train,3,Multi-Image Spans
149,multi_train,3,Non-Span
150,multi_train,3,Multi-Image Spans
151,multi_train,3,Multi-Image Spans
152,multi_train,3,Multi-Image Spans
8327,multi_train,3,Multi-Image Spans
8328,multi_train,3,Cross-Image Synthesis
8329,multi_train,3,Non-Span
8331,multi_train,3,Multi-Image Spans
9560,multi_train,3,Multi-Image Spans
9561,multi_train,3,Cross-Image Synthesis
9562,multi_train,3,Non-Span
9563,multi_train,3,Cross-Image Synthesis
7221,multi_train,3,Non-Span
7222,multi_train,3,Multi-Image Spans
7216,multi_train,3,Multi-Image Spans
7217,multi_train,3,Non-Span
7218,multi_train,3,Non-Span
7219,multi_train,3,Multi-Image Spans
7224,multi_train,3,Multi-Image Spans
6742,multi_train,3,Multi-Image Spans
4447,multi_train,2,Cross-Image Synthesis
4448,multi_train,2,Multi-Image Spans
7184,multi_train,2,Non-Span
7185,multi_train,2,Multi-Image Spans
6850,multi_train,2,Multi-Image Spans
1396,multi_train,2,Multi-Image Spans
3467,multi_train,3,Multi-Image Spans
3468,multi_train,3,Cross-Image Synthesis
3469,multi_train,3,Non-Span
3470,multi_train,3,Multi-Image Spans
3476,multi_train,3,Non-Span
3477,multi_train,3,Cross-Image Synthesis
3478,multi_train,3,Multi-Image Spans
3471,multi_train,3,Cross-Image Synthesis
3472,multi_train,3,Multi-Image Spans
3473,multi_train,3,Cross-Image Synthesis
3474,multi_train,3,Non-Span
3475,multi_train,3,Multi-Image Spans
9352,multi_train,3,Multi-Image Spans
9354,multi_train,3,Multi-Image Spans
9342,multi_train,3,Non-Span
9343,multi_train,3,Multi-Image Spans
9344,multi_train,3,Multi-Image Spans
9346,multi_train,3,Multi-Image Spans
9347,multi_train,3,Multi-Image Spans
9350,multi_train,3,Multi-Image Spans
9351,multi_train,3,Non-Span
247,multi_train,2,Multi-Image Spans
249,multi_train,2,Non-Span
245,multi_train,2,Multi-Image Spans
246,multi_train,2,Non-Span
248,multi_train,2,Non-Span
250,multi_train,2,Cross-Image Synthesis
2290,multi_train,2,Multi-Image Spans
4643,multi_train,3,Multi-Image Spans
4644,multi_train,3,Multi-Image Spans
4645,multi_train,3,Multi-Image Spans
4646,multi_train,3,Non-Span
6942,multi_train,2,Multi-Image Spans
113,multi_train,3,Multi-Image Spans
115,multi_train,3,Multi-Image Spans
6872,multi_train,3,Non-Span
6873,multi_train,3,Multi-Image Spans
4647,multi_train,2,Multi-Image Spans
4648,multi_train,2,Multi-Image Spans
4649,multi_train,2,Multi-Image Spans
1904,multi_train,3,Multi-Image Spans
1905,multi_train,3,Non-Span
1906,multi_train,3,Non-Span
7861,multi_train,2,Multi-Image Spans
7863,multi_train,2,Non-Span
1146,multi_train,3,Multi-Image Spans
1149,multi_train,3,Non-Span
8235,multi_train,2,Multi-Image Spans
8236,multi_train,2,Non-Span
8237,multi_train,2,Non-Span
6550,multi_train,2,Multi-Image Spans
1828,multi_train,2,Cross-Image Synthesis
1829,multi_train,2,Multi-Image Spans
1830,multi_train,2,Non-Span
1831,multi_train,2,Non-Span
1832,multi_train,2,Cross-Image Synthesis
8499,multi_train,3,Non-Span
8500,multi_train,3,Multi-Image Spans
8505,multi_train,3,Multi-Image Spans
8507,multi_train,3,Non-Span
8501,multi_train,3,Multi-Image Spans
8502,multi_train,3,Non-Span
8503,multi_train,3,Cross-Image Synthesis
8504,multi_train,3,Non-Span
3520,multi_train,3,Non-Span
3521,multi_train,3,Multi-Image Spans
3522,multi_train,3,Multi-Image Spans
3523,multi_train,3,Multi-Image Spans
3524,multi_train,3,Multi-Image Spans
3528,multi_train,3,Multi-Image Spans
3530,multi_train,3,Non-Span
7631,multi_train,2,Multi-Image Spans
7632,multi_train,2,Non-Span
7633,multi_train,2,Cross-Image Synthesis
5330,multi_train,2,Multi-Image Spans
5331,multi_train,2,Multi-Image Spans
5332,multi_train,2,Non-Span
6461,multi_train,2,Cross-Image Synthesis
6463,multi_train,2,Cross-Image Synthesis
3702,multi_train,3,Multi-Image Spans
3704,multi_train,3,Non-Span
3705,multi_train,3,Multi-Image Spans
7212,multi_train,3,Non-Span
7209,multi_train,3,Non-Span
6968,multi_train,2,Non-Span
4193,multi_train,2,Multi-Image Spans
5527,multi_train,2,Non-Span
5528,multi_train,2,Cross-Image Synthesis
5529,multi_train,2,Cross-Image Synthesis
5530,multi_train,2,Multi-Image Spans
9436,multi_train,3,Non-Span
9437,multi_train,3,Multi-Image Spans
9432,multi_train,3,Cross-Image Synthesis
9434,multi_train,3,Non-Span
9426,multi_train,3,Non-Span
9427,multi_train,3,Cross-Image Synthesis
9428,multi_train,3,Multi-Image Spans
9429,multi_train,3,Non-Span
9430,multi_train,3,Non-Span
9431,multi_train,3,Non-Span
390,multi_train,2,Multi-Image Spans
391,multi_train,2,Multi-Image Spans
8060,multi_train,3,Multi-Image Spans
8061,multi_train,3,Non-Span
8062,multi_train,3,Multi-Image Spans
6842,multi_train,2,Non-Span
9264,multi_train,3,Multi-Image Spans
9265,multi_train,3,Cross-Image Synthesis
9266,multi_train,3,Cross-Image Synthesis
9267,multi_train,3,Cross-Image Synthesis
9268,multi_train,3,Cross-Image Synthesis
8683,multi_train,3,Non-Span
8684,multi_train,3,Cross-Image Synthesis
8686,multi_train,3,Multi-Image Spans
8687,multi_train,3,Multi-Image Spans
953,multi_train,2,Non-Span
954,multi_train,2,Multi-Image Spans
955,multi_train,2,Cross-Image Synthesis
6437,multi_train,2,Cross-Image Synthesis
6439,multi_train,2,Multi-Image Spans
4456,multi_train,3,Multi-Image Spans
4457,multi_train,3,Cross-Image Synthesis
4458,multi_train,3,Non-Span
4459,multi_train,3,Multi-Image Spans
6399,multi_train,3,Multi-Image Spans
6308,multi_train,2,Multi-Image Spans
6646,multi_train,2,Non-Span
6647,multi_train,2,Multi-Image Spans
1371,multi_train,2,Non-Span
1372,multi_train,2,Multi-Image Spans
1373,multi_train,2,Multi-Image Spans
1374,multi_train,2,Multi-Image Spans
5598,multi_train,2,Non-Span
5599,multi_train,2,Multi-Image Spans
5600,multi_train,2,Multi-Image Spans
5601,multi_train,2,Multi-Image Spans
1197,multi_train,3,Multi-Image Spans
1195,multi_train,3,Cross-Image Synthesis
1196,multi_train,3,Multi-Image Spans
1198,multi_train,3,Multi-Image Spans
1267,multi_train,3,Multi-Image Spans
1268,multi_train,3,Multi-Image Spans
1269,multi_train,3,Multi-Image Spans
1270,multi_train,3,Multi-Image Spans
5366,multi_train,4,Multi-Image Spans
5371,multi_train,4,Non-Span
9327,multi_train,3,Cross-Image Synthesis
9329,multi_train,3,Non-Span
9330,multi_train,3,Multi-Image Spans
9331,multi_train,3,Non-Span
6076,multi_train,3,Multi-Image Spans
6077,multi_train,3,Multi-Image Spans
6078,multi_train,3,Cross-Image Synthesis
6240,multi_train,2,Multi-Image Spans
6242,multi_train,2,Non-Span
9262,multi_train,3,Non-Span
9263,multi_train,3,Multi-Image Spans
6372,multi_train,2,Multi-Image Spans
6373,multi_train,2,Non-Span
6374,multi_train,2,Multi-Image Spans
4844,multi_train,3,Multi-Image Spans
4845,multi_train,3,Cross-Image Synthesis
4846,multi_train,3,Multi-Image Spans
4847,multi_train,3,Multi-Image Spans
4848,multi_train,3,Non-Span
4849,multi_train,3,Multi-Image Spans
6336,multi_train,3,Non-Span
6337,multi_train,3,Multi-Image Spans
6338,multi_train,3,Cross-Image Synthesis
7967,multi_train,2,Multi-Image Spans
7968,multi_train,2,Cross-Image Synthesis
7969,multi_train,2,Multi-Image Spans
7970,multi_train,2,Non-Span
7971,multi_train,2,Non-Span
7972,multi_train,2,Multi-Image Spans
1517,multi_train,2,Non-Span
1519,multi_train,2,Multi-Image Spans
1520,multi_train,2,Multi-Image Spans
1521,multi_train,2,Multi-Image Spans
976,multi_train,3,Multi-Image Spans
977,multi_train,3,Non-Span
978,multi_train,3,Multi-Image Spans
979,multi_train,3,Multi-Image Spans
2292,multi_train,2,Multi-Image Spans
2293,multi_train,2,Multi-Image Spans
2294,multi_train,2,Non-Span
2295,multi_train,2,Multi-Image Spans
5668,multi_train,3,Multi-Image Spans
5669,multi_train,3,Multi-Image Spans
5671,multi_train,3,Multi-Image Spans
5672,multi_train,3,Cross-Image Synthesis
5670,multi_train,3,Non-Span
4763,multi_train,2,Cross-Image Synthesis
4764,multi_train,2,Cross-Image Synthesis
4765,multi_train,2,Multi-Image Spans
4766,multi_train,2,Non-Span
4767,multi_train,2,Multi-Image Spans
1840,multi_train,2,Multi-Image Spans
1841,multi_train,2,Multi-Image Spans
1842,multi_train,2,Non-Span
1843,multi_train,2,Non-Span
7691,multi_train,2,Multi-Image Spans
7692,multi_train,2,Non-Span
7693,multi_train,2,Cross-Image Synthesis
7694,multi_train,2,Non-Span
5429,multi_train,2,Cross-Image Synthesis
5430,multi_train,2,Multi-Image Spans
5431,multi_train,2,Non-Span
5432,multi_train,2,Multi-Image Spans
6889,multi_train,2,Non-Span
6890,multi_train,2,Multi-Image Spans
4302,multi_train,4,Multi-Image Spans
5994,multi_train,3,Multi-Image Spans
5996,multi_train,3,Non-Span
5997,multi_train,3,Multi-Image Spans
5998,multi_train,3,Cross-Image Synthesis
5999,multi_train,3,Non-Span
6000,multi_train,3,Non-Span
5589,multi_train,2,Cross-Image Synthesis
5590,multi_train,2,Multi-Image Spans
5591,multi_train,2,Non-Span
7673,multi_train,3,Multi-Image Spans
7675,multi_train,3,Multi-Image Spans
7676,multi_train,3,Non-Span
9038,multi_train,3,Non-Span
9039,multi_train,3,Multi-Image Spans
9040,multi_train,3,Cross-Image Synthesis
9041,multi_train,3,Multi-Image Spans
9042,multi_train,3,Cross-Image Synthesis
9036,multi_train,3,Multi-Image Spans
9037,multi_train,3,Multi-Image Spans
9043,multi_train,3,Multi-Image Spans
9044,multi_train,3,Non-Span
9045,multi_train,3,Cross-Image Synthesis
9046,multi_train,3,Multi-Image Spans
8586,multi_train,3,Multi-Image Spans
8587,multi_train,3,Cross-Image Synthesis
8590,multi_train,3,Cross-Image Synthesis
8591,multi_train,3,Multi-Image Spans
8592,multi_train,3,Non-Span
8593,multi_train,3,Multi-Image Spans
8594,multi_train,3,Multi-Image Spans
8596,multi_train,3,Multi-Image Spans
7774,multi_train,3,Multi-Image Spans
7775,multi_train,3,Non-Span
7776,multi_train,3,Multi-Image Spans
5941,multi_train,3,Non-Span
5942,multi_train,3,Cross-Image Synthesis
5943,multi_train,3,Multi-Image Spans
8339,multi_train,3,Multi-Image Spans
8340,multi_train,3,Cross-Image Synthesis
1951,multi_train,2,Non-Span
1952,multi_train,2,Multi-Image Spans
1953,multi_train,2,Multi-Image Spans
1584,multi_train,4,Multi-Image Spans
2981,multi_train,3,Multi-Image Spans
2983,multi_train,3,Multi-Image Spans
2984,multi_train,3,Non-Span
2975,multi_train,3,Multi-Image Spans
2978,multi_train,3,Cross-Image Synthesis
2988,multi_train,3,Multi-Image Spans
4884,multi_train,3,Cross-Image Synthesis
4886,multi_train,3,Multi-Image Spans
4878,multi_train,3,Multi-Image Spans
4879,multi_train,3,Cross-Image Synthesis
4880,multi_train,3,Multi-Image Spans
4882,multi_train,3,Cross-Image Synthesis
4883,multi_train,3,Cross-Image Synthesis
4887,multi_train,3,Multi-Image Spans
4889,multi_train,3,Non-Span
4890,multi_train,3,Non-Span
4891,multi_train,3,Multi-Image Spans
4892,multi_train,3,Cross-Image Synthesis
3731,multi_train,2,Multi-Image Spans
3732,multi_train,2,Multi-Image Spans
3733,multi_train,2,Non-Span
4825,multi_train,3,Cross-Image Synthesis
4826,multi_train,3,Non-Span
4827,multi_train,3,Multi-Image Spans
1770,multi_train,3,Multi-Image Spans
1771,multi_train,3,Non-Span
1772,multi_train,3,Cross-Image Synthesis
4015,multi_train,2,Multi-Image Spans
4016,multi_train,2,Cross-Image Synthesis
4017,multi_train,2,Non-Span
4018,multi_train,2,Non-Span
4019,multi_train,2,Multi-Image Spans
6992,multi_train,3,Non-Span
779,multi_train,3,Cross-Image Synthesis
780,multi_train,3,Multi-Image Spans
781,multi_train,3,Multi-Image Spans
782,multi_train,3,Non-Span
783,multi_train,2,Cross-Image Synthesis
784,multi_train,2,Multi-Image Spans
776,multi_train,3,Non-Span
777,multi_train,3,Cross-Image Synthesis
778,multi_train,3,Multi-Image Spans
2966,multi_train,3,Multi-Image Spans
2967,multi_train,3,Non-Span
2969,multi_train,3,Multi-Image Spans
2971,multi_train,3,Multi-Image Spans
2972,multi_train,3,Non-Span
982,multi_train,3,Non-Span
983,multi_train,3,Multi-Image Spans
984,multi_train,3,Multi-Image Spans
6836,multi_train,3,Multi-Image Spans
6837,multi_train,3,Non-Span
6839,multi_train,3,Multi-Image Spans
6840,multi_train,3,Multi-Image Spans
1787,multi_train,4,Multi-Image Spans
1788,multi_train,4,Non-Span
1789,multi_train,4,Multi-Image Spans
318,multi_train,3,Multi-Image Spans
319,multi_train,3,Multi-Image Spans
5022,multi_train,3,Multi-Image Spans
5023,multi_train,3,Non-Span
5024,multi_train,3,Multi-Image Spans
5025,multi_train,3,Cross-Image Synthesis
5026,multi_train,3,Non-Span
5027,multi_train,3,Non-Span
5019,multi_train,3,Non-Span
5020,multi_train,3,Cross-Image Synthesis
5021,multi_train,3,Multi-Image Spans
5013,multi_train,3,Cross-Image Synthesis
5014,multi_train,3,Multi-Image Spans
5015,multi_train,3,Non-Span
5016,multi_train,3,Multi-Image Spans
