question_id,split_name,task_family,tokenization_flags,flag_count
47982,single_train,single,date_time_currency;hyphen_form;numeric_unit_compact;slash_form,4
47985,single_train,single,date_time_currency;hyphen_form;numeric_unit_compact;slash_form,4
37303,single_train,single,none,1
37304,single_train,single,none,1
37298,single_train,single,none,1
37301,single_train,single,abbreviation;date_time_currency,2
37302,single_train,single,none,1
37299,single_train,single,date_time_currency,1
37305,single_train,single,none,1
37297,single_train,single,none,1
37300,single_train,single,abbreviation;slash_form,2
153844,single_train,single,date_time_currency,1
153838,single_train,single,date_time_currency;numeric_unit_compact;slash_form,3
153841,single_train,single,none,1
153836,single_train,single,none,1
153840,single_train,single,date_time_currency;numeric_unit_compact;slash_form,3
153839,single_train,single,none,1
153843,single_train,single,none,1
153837,single_train,single,none,1
110748,single_train,single,none,1
110746,single_train,single,none,1
110751,single_train,single,none,1
110749,single_train,single,none,1
110744,single_train,single,none,1
110752,single_train,single,none,1
110747,single_train,single,none,1
37397,single_train,single,none,1
37400,single_train,single,none,1
37401,single_train,single,none,1
37405,single_train,single,hyphen_form,1
37399,single_train,single,none,1
122732,single_train,single,none,1
122724,single_train,single,hyphen_form,1
122734,single_train,single,none,1
122731,single_train,single,hyphen_form,1
122727,single_train,single,hyphen_form,1
122729,single_train,single,hyphen_form,1
122733,single_train,single,hyphen_form,1
122725,single_train,single,numeric_unit_compact,1
122730,single_train,single,hyphen_form,1
122726,single_train,single,hyphen_form,1
122728,single_train,single,numeric_unit_compact,1
56234,single_train,single,none,1
56237,single_train,single,hyphen_form;numeric_unit_compact,2
56238,single_train,single,date_time_currency;hyphen_form;numeric_unit_compact;slash_form,4
56233,single_train,single,numeric_unit_compact,1
56235,single_train,single,hyphen_form;numeric_unit_compact,2
49140,single_train,single,date_time_currency;slash_form,2
49143,single_train,single,hyphen_form,1
49137,single_train,single,hyphen_form,1
49136,single_train,single,hyphen_form,1
49142,single_train,single,none,1
49139,single_train,single,none,1
49135,single_train,single,hyphen_form,1
49141,single_train,single,hyphen_form,1
49138,single_train,single,hyphen_form,1
33016,single_train,single,date_time_currency;numeric_unit_compact;slash_form,3
33013,single_train,single,none,1
33014,single_train,single,numeric_unit_compact,1
33012,single_train,single,date_time_currency;slash_form,2
33017,single_train,single,numeric_unit_compact,1
33018,single_train,single,date_time_currency;slash_form,2
65143,single_train,single,date_time_currency;hyphen_form;slash_form,3
65144,single_train,single,none,1
65145,single_train,single,none,1
65151,single_train,single,none,1
65148,single_train,single,none,1
65142,single_train,single,none,1
65141,single_train,single,none,1
65146,single_train,single,date_time_currency;slash_form,2
65149,single_train,single,none,1
65147,single_train,single,date_time_currency,1
46564,single_train,single,abbreviation;date_time_currency;hyphen_form,3
46566,single_train,single,none,1
46565,single_train,single,none,1
46567,single_train,single,abbreviation;date_time_currency,2
46571,single_train,single,none,1
15194,single_train,single,none,1
15196,single_train,single,none,1
15197,single_train,single,none,1
15195,single_train,single,none,1
15200,single_train,single,none,1
15199,single_train,single,none,1
154019,single_train,single,none,1
154018,single_train,single,date_time_currency,1
154017,single_train,single,none,1
154020,single_train,single,none,1
154024,single_train,single,none,1
150384,single_train,single,none,1
150387,single_train,single,none,1
150383,single_train,single,none,1
150388,single_train,single,hyphen_form,1
150393,single_train,single,none,1
150389,single_train,single,none,1
150386,single_train,single,none,1
150385,single_train,single,none,1
84325,single_train,single,none,1
84319,single_train,single,date_time_currency;slash_form,2
84326,single_train,single,abbreviation;date_time_currency;hyphen_form;numeric_unit_compact;slash_form,5
84322,single_train,single,none,1
84320,single_train,single,abbreviation;hyphen_form,2
84324,single_train,single,abbreviation;date_time_currency;hyphen_form;numeric_unit_compact;slash_form,5
84323,single_train,single,abbreviation;hyphen_form,2
84321,single_train,single,abbreviation;hyphen_form,2
84327,single_train,single,abbreviation;hyphen_form,2
98740,single_train,single,none,1
98745,single_train,single,none,1
98741,single_train,single,none,1
98744,single_train,single,none,1
10424,single_train,single,none,1
10419,single_train,single,none,1
10421,single_train,single,date_time_currency,1
10423,single_train,single,date_time_currency;hyphen_form,2
10418,single_train,single,date_time_currency,1
10422,single_train,single,none,1
10416,single_train,single,none,1
10420,single_train,single,none,1
10425,single_train,single,none,1
10417,single_train,single,none,1
10415,single_train,single,none,1
6792,single_train,single,none,1
6785,single_train,single,none,1
6780,single_train,single,numeric_unit_compact,1
6783,single_train,single,none,1
6782,single_train,single,none,1
6781,single_train,single,date_time_currency;slash_form,2
6784,single_train,single,numeric_unit_compact,1
6779,single_train,single,date_time_currency;slash_form,2
6788,single_train,single,numeric_unit_compact,1
6791,single_train,single,none,1
6790,single_train,single,slash_form,1
6786,single_train,single,none,1
6789,single_train,single,none,1
6787,single_train,single,date_time_currency;slash_form,2
137939,single_train,single,none,1
137936,single_train,single,none,1
137938,single_train,single,none,1
137943,single_train,single,none,1
137937,single_train,single,none,1
137941,single_train,single,none,1
153863,single_train,single,none,1
153870,single_train,single,none,1
153865,single_train,single,none,1
153864,single_train,single,none,1
153860,single_train,single,none,1
153862,single_train,single,none,1
153866,single_train,single,none,1
107171,single_train,single,none,1
107169,single_train,single,none,1
107165,single_train,single,abbreviation;hyphen_form,2
107168,single_train,single,abbreviation;date_time_currency;hyphen_form;numeric_unit_compact;slash_form,5
107167,single_train,single,none,1
107164,single_train,single,abbreviation;date_time_currency;hyphen_form;numeric_unit_compact;slash_form,5
107166,single_train,single,date_time_currency;slash_form,2
107172,single_train,single,none,1
107170,single_train,single,none,1
83772,single_train,single,abbreviation;hyphen_form,2
83771,single_train,single,none,1
83764,single_train,single,abbreviation;hyphen_form,2
83773,single_train,single,none,1
83770,single_train,single,none,1
83763,single_train,single,none,1
148695,single_train,single,none,1
148690,single_train,single,none,1
148699,single_train,single,none,1
148692,single_train,single,none,1
148693,single_train,single,date_time_currency;slash_form,2
148696,single_train,single,none,1
148697,single_train,single,none,1
148698,single_train,single,none,1
148694,single_train,single,slash_form,1
60431,single_train,single,numeric_unit_compact,1
60434,single_train,single,date_time_currency;hyphen_form;numeric_unit_compact;slash_form,4
60435,single_train,single,none,1
60433,single_train,single,hyphen_form,1
112448,single_train,single,none,1
112445,single_train,single,none,1
112447,single_train,single,none,1
112443,single_train,single,none,1
112446,single_train,single,none,1
112444,single_train,single,none,1
96344,single_train,single,abbreviation;hyphen_form,2
96343,single_train,single,date_time_currency;slash_form,2
96341,single_train,single,abbreviation;hyphen_form,2
96345,single_train,single,none,1
96342,single_train,single,none,1
137696,single_train,single,none,1
137688,single_train,single,date_time_currency;slash_form,2
137690,single_train,single,none,1
137695,single_train,single,date_time_currency;slash_form,2
137692,single_train,single,date_time_currency;slash_form,2
52587,single_train,single,numeric_unit_compact,1
52590,single_train,single,numeric_unit_compact,1
52588,single_train,single,date_time_currency;hyphen_form;numeric_unit_compact;slash_form,4
52589,single_train,single,hyphen_form,1
52591,single_train,single,date_time_currency;hyphen_form;numeric_unit_compact;slash_form,4
52593,single_train,single,date_time_currency;slash_form,2
114273,single_train,single,none,1
114267,single_train,single,date_time_currency;slash_form,2
114272,single_train,single,abbreviation;hyphen_form,2
114271,single_train,single,abbreviation;hyphen_form,2
114269,single_train,single,none,1
114268,single_train,single,date_time_currency;slash_form,2
114270,single_train,single,none,1
14777,single_train,single,none,1
14776,single_train,single,none,1
14780,single_train,single,none,1
14779,single_train,single,none,1
14775,single_train,single,none,1
14774,single_train,single,none,1
14778,single_train,single,none,1
88851,single_train,single,date_time_currency;numeric_unit_compact;slash_form,3
88853,single_train,single,date_time_currency;numeric_unit_compact;slash_form,3
88855,single_train,single,none,1
88852,single_train,single,none,1
88849,single_train,single,none,1
88847,single_train,single,date_time_currency;numeric_unit_compact;slash_form,3
88854,single_train,single,date_time_currency;numeric_unit_compact;slash_form,3
88848,single_train,single,none,1
88850,single_train,single,abbreviation;hyphen_form,2
93498,single_train,single,none,1
93501,single_train,single,none,1
93497,single_train,single,none,1
93502,single_train,single,abbreviation;hyphen_form,2
93499,single_train,single,abbreviation;hyphen_form,2
93503,single_train,single,abbreviation;date_time_currency;hyphen_form;slash_form,4
93500,single_train,single,date_time_currency;numeric_unit_compact;slash_form,3
93496,single_train,single,none,1
47739,single_train,single,numeric_unit_compact,1
47738,single_train,single,numeric_unit_compact,1
47741,single_train,single,none,1
47742,single_train,single,none,1
47740,single_train,single,date_time_currency;hyphen_form;numeric_unit_compact;slash_form,4
146247,single_train,single,none,1
146249,single_train,single,none,1
146241,single_train,single,none,1
146242,single_train,single,none,1
146253,single_train,single,none,1
146243,single_train,single,none,1
146254,single_train,single,none,1
146251,single_train,single,date_time_currency;slash_form,2
146246,single_train,single,none,1
146250,single_train,single,none,1
146248,single_train,single,none,1
146244,single_train,single,none,1
146245,single_train,single,none,1
45468,single_train,single,none,1
45464,single_train,single,abbreviation,1
45463,single_train,single,none,1
45460,single_train,single,none,1
45465,single_train,single,none,1
45462,single_train,single,abbreviation,1
45461,single_train,single,none,1
160673,single_train,single,date_time_currency;slash_form,2
160677,single_train,single,none,1
160670,single_train,single,numeric_unit_compact,1
160679,single_train,single,none,1
160676,single_train,single,none,1
160669,single_train,single,date_time_currency;slash_form,2
160674,single_train,single,none,1
160680,single_train,single,none,1
160675,single_train,single,abbreviation;date_time_currency;slash_form,3
160671,single_train,single,abbreviation,1
160672,single_train,single,none,1
160678,single_train,single,none,1
118297,single_train,single,none,1
118299,single_train,single,date_time_currency;hyphen_form;slash_form,3
118307,single_train,single,none,1
118308,single_train,single,none,1
118298,single_train,single,date_time_currency;hyphen_form;slash_form,3
118304,single_train,single,none,1
118306,single_train,single,none,1
118300,single_train,single,none,1
118303,single_train,single,date_time_currency;hyphen_form;slash_form,3
118305,single_train,single,none,1
144841,single_train,single,none,1
144840,single_train,single,none,1
144835,single_train,single,none,1
144834,single_train,single,none,1
144837,single_train,single,none,1
144838,single_train,single,none,1
144836,single_train,single,none,1
144831,single_train,single,none,1
144833,single_train,single,none,1
144832,single_train,single,none,1
311,single_train,single,none,1
307,single_train,single,none,1
304,single_train,single,none,1
306,single_train,single,numeric_unit_compact,1
309,single_train,single,none,1
305,single_train,single,abbreviation;date_time_currency,2
162731,single_train,single,none,1
162724,single_train,single,none,1
162730,single_train,single,none,1
162727,single_train,single,none,1
162729,single_train,single,none,1
162726,single_train,single,none,1
62213,single_train,single,abbreviation;date_time_currency,2
62211,single_train,single,abbreviation;hyphen_form,2
62206,single_train,single,abbreviation;date_time_currency,2
62208,single_train,single,abbreviation;date_time_currency,2
62209,single_train,single,abbreviation;date_time_currency,2
62216,single_train,single,abbreviation;hyphen_form,2
62207,single_train,single,none,1
62214,single_train,single,abbreviation;hyphen_form,2
62217,single_train,single,abbreviation;hyphen_form,2
62210,single_train,single,date_time_currency;slash_form,2
62212,single_train,single,abbreviation;date_time_currency,2
62215,single_train,single,none,1
87643,single_train,single,none,1
87638,single_train,single,none,1
87641,single_train,single,none,1
87646,single_train,single,none,1
87640,single_train,single,slash_form,1
87645,single_train,single,none,1
87644,single_train,single,none,1
87639,single_train,single,none,1
87642,single_train,single,none,1
51764,single_train,single,date_time_currency;hyphen_form;numeric_unit_compact;slash_form,4
51766,single_train,single,hyphen_form;numeric_unit_compact,2
51761,single_train,single,date_time_currency;hyphen_form;numeric_unit_compact;slash_form,4
51765,single_train,single,date_time_currency;hyphen_form;numeric_unit_compact;slash_form,4
51763,single_train,single,hyphen_form;numeric_unit_compact,2
51762,single_train,single,numeric_unit_compact,1
51760,single_train,single,hyphen_form;numeric_unit_compact,2
7347,single_train,single,none,1
7346,single_train,single,none,1
7348,single_train,single,none,1
7355,single_train,single,none,1
7352,single_train,single,abbreviation;date_time_currency,2
7358,single_train,single,none,1
7353,single_train,single,none,1
7354,single_train,single,abbreviation;date_time_currency,2
7350,single_train,single,none,1
7349,single_train,single,none,1
7351,single_train,single,none,1
158864,single_train,single,none,1
158862,single_train,single,none,1
158871,single_train,single,none,1
158870,single_train,single,none,1
158874,single_train,single,none,1
158873,single_train,single,none,1
158863,single_train,single,none,1
158872,single_train,single,none,1
37476,single_train,single,slash_form,1
37468,single_train,single,none,1
37474,single_train,single,none,1
37475,single_train,single,none,1
37473,single_train,single,none,1
37466,single_train,single,none,1
37479,single_train,single,none,1
37470,single_train,single,none,1
37467,single_train,single,none,1
37472,single_train,single,none,1
37469,single_train,single,none,1
37477,single_train,single,none,1
37471,single_train,single,none,1
69400,single_train,single,hyphen_form,1
69399,single_train,single,hyphen_form,1
69398,single_train,single,none,1
69403,single_train,single,none,1
69401,single_train,single,none,1
69405,single_train,single,hyphen_form,1
5052,single_train,single,none,1
5053,single_train,single,slash_form,1
5049,single_train,single,slash_form,1
5057,single_train,single,none,1
5054,single_train,single,slash_form,1
5050,single_train,single,none,1
28893,single_train,single,none,1
28889,single_train,single,slash_form,1
28887,single_train,single,none,1
28892,single_train,single,none,1
28894,single_train,single,none,1
28883,single_train,single,none,1
28886,single_train,single,none,1
28884,single_train,single,none,1
28890,single_train,single,none,1
28885,single_train,single,none,1
28891,single_train,single,none,1
28895,single_train,single,none,1
33033,single_train,single,none,1
33028,single_train,single,none,1
33030,single_train,single,none,1
33029,single_train,single,none,1
33031,single_train,single,none,1
33032,single_train,single,none,1
156842,single_train,single,none,1
156838,single_train,single,none,1
156841,single_train,single,none,1
156845,single_train,single,none,1
156846,single_train,single,none,1
156839,single_train,single,none,1
156840,single_train,single,date_time_currency;hyphen_form,2
156843,single_train,single,none,1
156844,single_train,single,none,1
24702,single_train,single,none,1
24701,single_train,single,none,1
24706,single_train,single,none,1
24705,single_train,single,none,1
24700,single_train,single,none,1
24699,single_train,single,none,1
24703,single_train,single,none,1
24704,single_train,single,none,1
45934,single_train,single,none,1
45935,single_train,single,none,1
45931,single_train,single,slash_form,1
45932,single_train,single,abbreviation;date_time_currency;slash_form,3
45929,single_train,single,date_time_currency;slash_form,2
45930,single_train,single,date_time_currency;slash_form,2
110507,single_train,single,date_time_currency;hyphen_form,2
110510,single_train,single,abbreviation;date_time_currency;hyphen_form;slash_form,4
110506,single_train,single,abbreviation;hyphen_form,2
110512,single_train,single,none,1
110505,single_train,single,abbreviation;hyphen_form,2
110514,single_train,single,none,1
110511,single_train,single,none,1
110508,single_train,single,abbreviation;date_time_currency;hyphen_form;slash_form,4
110504,single_train,single,none,1
120966,single_train,single,none,1
120969,single_train,single,none,1
120967,single_train,single,hyphen_form,1
120963,single_train,single,none,1
120968,single_train,single,date_time_currency;slash_form,2
120970,single_train,single,hyphen_form,1
120964,single_train,single,hyphen_form,1
120965,single_train,single,date_time_currency;slash_form,2
120962,single_train,single,hyphen_form,1
52946,single_train,single,hyphen_form;numeric_unit_compact,2
52943,single_train,single,numeric_unit_compact,1
52948,single_train,single,none,1
52942,single_train,single,hyphen_form;numeric_unit_compact,2
52944,single_train,single,date_time_currency;hyphen_form;numeric_unit_compact;slash_form,4
52947,single_train,single,none,1
52949,single_train,single,none,1
52945,single_train,single,hyphen_form;numeric_unit_compact,2
95805,single_train,single,none,1
95806,single_train,single,none,1
95803,single_train,single,none,1
95807,single_train,single,abbreviation;date_time_currency;hyphen_form;numeric_unit_compact;slash_form,5
95809,single_train,single,none,1
127567,single_train,single,none,1
127571,single_train,single,none,1
127572,single_train,single,none,1
127564,single_train,single,date_time_currency;slash_form,2
127570,single_train,single,none,1
127568,single_train,single,none,1
127569,single_train,single,none,1
127565,single_train,single,none,1
127566,single_train,single,date_time_currency;slash_form,2
132443,single_train,single,hyphen_form,1
132447,single_train,single,none,1
132444,single_train,single,none,1
132448,single_train,single,none,1
132442,single_train,single,none,1
132441,single_train,single,none,1
132440,single_train,single,numeric_unit_compact,1
132439,single_train,single,hyphen_form,1
132446,single_train,single,none,1
157021,single_train,single,none,1
157020,single_train,single,none,1
157022,single_train,single,none,1
157026,single_train,single,none,1
157027,single_train,single,none,1
157024,single_train,single,none,1
157028,single_train,single,none,1
157025,single_train,single,none,1
157023,single_train,single,none,1
51144,single_train,single,none,1
51145,single_train,single,hyphen_form;numeric_unit_compact,2
51143,single_train,single,none,1
51148,single_train,single,date_time_currency;numeric_unit_compact;slash_form,3
51147,single_train,single,none,1
51146,single_train,single,date_time_currency;hyphen_form;numeric_unit_compact;slash_form,4
51142,single_train,single,date_time_currency;hyphen_form;numeric_unit_compact;slash_form,4
64128,single_train,single,numeric_unit_compact,1
64119,single_train,single,none,1
64129,single_train,single,none,1
64125,single_train,single,none,1
64116,single_train,single,none,1
64123,single_train,single,none,1
64118,single_train,single,none,1
64120,single_train,single,numeric_unit_compact,1
64127,single_train,single,date_time_currency;hyphen_form,2
60620,single_train,single,date_time_currency;numeric_unit_compact;slash_form,3
60629,single_train,single,none,1
60621,single_train,single,date_time_currency;hyphen_form;numeric_unit_compact;slash_form,4
60626,single_train,single,hyphen_form;numeric_unit_compact,2
60624,single_train,single,date_time_currency;hyphen_form;numeric_unit_compact;slash_form,4
60628,single_train,single,none,1
60625,single_train,single,none,1
60623,single_train,single,numeric_unit_compact,1
60627,single_train,single,date_time_currency;hyphen_form;numeric_unit_compact;slash_form,4
60622,single_train,single,numeric_unit_compact,1
164338,single_train,single,none,1
164343,single_train,single,none,1
164339,single_train,single,none,1
164340,single_train,single,none,1
113616,single_train,single,date_time_currency;hyphen_form,2
113618,single_train,single,abbreviation;hyphen_form,2
113614,single_train,single,date_time_currency;hyphen_form,2
113621,single_train,single,none,1
113615,single_train,single,date_time_currency;slash_form,2
113617,single_train,single,date_time_currency;hyphen_form,2
113613,single_train,single,date_time_currency;hyphen_form,2
70352,single_train,single,none,1
70346,single_train,single,none,1
70344,single_train,single,slash_form,1
70348,single_train,single,none,1
70343,single_train,single,slash_form,1
70345,single_train,single,hyphen_form;slash_form,2
70351,single_train,single,none,1
70350,single_train,single,slash_form,1
70347,single_train,single,none,1
70349,single_train,single,none,1
95953,single_train,single,abbreviation;date_time_currency;hyphen_form,3
95954,single_train,single,none,1
95947,single_train,single,abbreviation;hyphen_form,2
95952,single_train,single,none,1
95948,single_train,single,abbreviation;date_time_currency;hyphen_form;slash_form,4
95951,single_train,single,abbreviation;date_time_currency;hyphen_form,3
95949,single_train,single,abbreviation;hyphen_form,2
95950,single_train,single,none,1
120579,single_train,single,none,1
120577,single_train,single,none,1
120574,single_train,single,none,1
120572,single_train,single,none,1
120580,single_train,single,none,1
120578,single_train,single,numeric_unit_compact,1
120584,single_train,single,none,1
120575,single_train,single,none,1
120581,single_train,single,none,1
120583,single_train,single,none,1
120576,single_train,single,none,1
120582,single_train,single,numeric_unit_compact,1
120573,single_train,single,none,1
105035,single_train,single,slash_form,1
105033,single_train,single,none,1
105034,single_train,single,none,1
105041,single_train,single,none,1
105038,single_train,single,none,1
105042,single_train,single,none,1
105031,single_train,single,none,1
105036,single_train,single,none,1
105032,single_train,single,none,1
105040,single_train,single,none,1
105037,single_train,single,none,1
38402,single_train,single,hyphen_form,1
38406,single_train,single,hyphen_form,1
38405,single_train,single,hyphen_form,1
38410,single_train,single,none,1
38400,single_train,single,none,1
38407,single_train,single,none,1
38403,single_train,single,none,1
38401,single_train,single,none,1
38404,single_train,single,none,1
150702,single_train,single,none,1
150698,single_train,single,date_time_currency;numeric_unit_compact;slash_form,3
150701,single_train,single,none,1
150699,single_train,single,none,1
103136,single_train,single,none,1
103138,single_train,single,hyphen_form,1
103142,single_train,single,none,1
103134,single_train,single,abbreviation;hyphen_form,2
103137,single_train,single,none,1
103144,single_train,single,none,1
103145,single_train,single,none,1
103140,single_train,single,none,1
103141,single_train,single,none,1
32403,single_train,single,none,1
32407,single_train,single,none,1
32408,single_train,single,none,1
32405,single_train,single,none,1
32402,single_train,single,none,1
88779,single_train,single,none,1
88784,single_train,single,abbreviation;hyphen_form,2
88786,single_train,single,date_time_currency;numeric_unit_compact;slash_form,3
88785,single_train,single,abbreviation;date_time_currency;hyphen_form;slash_form,4
88781,single_train,single,date_time_currency;numeric_unit_compact;slash_form,3
88787,single_train,single,none,1
88792,single_train,single,none,1
88780,single_train,single,abbreviation;hyphen_form,2
88789,single_train,single,none,1
88783,single_train,single,date_time_currency;slash_form,2
88791,single_train,single,date_time_currency;slash_form,2
120452,single_train,single,numeric_unit_compact,1
120451,single_train,single,none,1
120454,single_train,single,hyphen_form,1
120455,single_train,single,numeric_unit_compact,1
120456,single_train,single,none,1
120457,single_train,single,none,1
120459,single_train,single,hyphen_form,1
120460,single_train,single,numeric_unit_compact,1
120463,single_train,single,date_time_currency,1
120458,single_train,single,numeric_unit_compact,1
120462,single_train,single,none,1
120461,single_train,single,none,1
120453,single_train,single,hyphen_form,1
30323,single_train,single,date_time_currency;numeric_unit_compact;slash_form,3
30319,single_train,single,none,1
30317,single_train,single,hyphen_form;slash_form,2
30318,single_train,single,none,1
30320,single_train,single,none,1
30322,single_train,single,none,1
30321,single_train,single,hyphen_form;slash_form,2
122693,single_train,single,none,1
122688,single_train,single,none,1
122690,single_train,single,none,1
122686,single_train,single,none,1
122687,single_train,single,none,1
122691,single_train,single,none,1
122692,single_train,single,date_time_currency;slash_form,2
122694,single_train,single,date_time_currency;slash_form,2
122685,single_train,single,hyphen_form,1
147366,single_train,single,none,1
147365,single_train,single,none,1
147367,single_train,single,none,1
147370,single_train,single,none,1
147368,single_train,single,none,1
48068,single_train,single,hyphen_form;numeric_unit_compact,2
48066,single_train,single,hyphen_form;numeric_unit_compact,2
48067,single_train,single,numeric_unit_compact,1
48069,single_train,single,date_time_currency;hyphen_form;numeric_unit_compact;slash_form,4
48071,single_train,single,date_time_currency;hyphen_form;numeric_unit_compact;slash_form,4
48072,single_train,single,hyphen_form;numeric_unit_compact,2
48074,single_train,single,none,1
48070,single_train,single,hyphen_form;numeric_unit_compact,2
7413,single_train,single,none,1
7409,single_train,single,none,1
7411,single_train,single,hyphen_form,1
7410,single_train,single,hyphen_form,1
7406,single_train,single,hyphen_form,1
7415,single_train,single,none,1
7412,single_train,single,hyphen_form,1
7407,single_train,single,hyphen_form,1
7408,single_train,single,hyphen_form,1
38019,single_train,single,none,1
38024,single_train,single,none,1
38020,single_train,single,numeric_unit_compact,1
38018,single_train,single,none,1
38025,single_train,single,none,1
38022,single_train,single,none,1
110248,single_train,single,date_time_currency;slash_form,2
110249,single_train,single,none,1
110246,single_train,single,none,1
110255,single_train,single,none,1
110252,single_train,single,none,1
110251,single_train,single,none,1
110250,single_train,single,date_time_currency,1
110247,single_train,single,date_time_currency,1
66089,single_train,single,none,1
66086,single_train,single,numeric_unit_compact,1
66085,single_train,single,none,1
66091,single_train,single,none,1
66090,single_train,single,none,1
66094,single_train,single,none,1
66084,single_train,single,none,1
66088,single_train,single,none,1
66087,single_train,single,none,1
49155,single_train,single,hyphen_form;numeric_unit_compact,2
49160,single_train,single,hyphen_form,1
49161,single_train,single,date_time_currency;numeric_unit_compact;slash_form,3
49159,single_train,single,hyphen_form,1
49156,single_train,single,hyphen_form,1
49158,single_train,single,none,1
49154,single_train,single,hyphen_form,1
49157,single_train,single,hyphen_form,1
71130,single_train,single,none,1
71128,single_train,single,none,1
71129,single_train,single,none,1
71127,single_train,single,none,1
71131,single_train,single,none,1
71126,single_train,single,none,1
