question_id,split_name,task_family,answer_source
10415,single_train,single,image-span
6792,single_train,single,multi-span
6785,single_train,single,multi-span
6780,single_train,single,question-span
6783,single_train,single,image-span
6782,single_train,single,non-extractive
6781,single_train,single,multi-span
6784,single_train,single,question-span
6779,single_train,single,image-span
6788,single_train,single,question-span
6791,single_train,single,image-span
6790,single_train,single,non-extractive
6786,single_train,single,non-extractive
6789,single_train,single,multi-span
6787,single_train,single,image-span
137939,single_train,single,non-extractive
137936,single_train,single,image-span
137938,single_train,single,multi-span
137943,single_train,single,non-extractive
137937,single_train,single,question-span
137941,single_train,single,question-span
153863,single_train,single,non-extractive
153870,single_train,single,non-extractive
153865,single_train,single,question-span
153864,single_train,single,image-span
153860,single_train,single,image-span
153862,single_train,single,multi-span
153866,single_train,single,multi-span
107171,single_train,single,question-span
107169,single_train,single,question-span
107165,single_train,single,question-span
107168,single_train,single,image-span
107167,single_train,single,non-extractive
107164,single_train,single,image-span
107166,single_train,single,multi-span
107172,single_train,single,multi-span
107170,single_train,single,image-span
83772,single_train,single,non-extractive
83771,single_train,single,non-extractive
83764,single_train,single,multi-span
83773,single_train,single,non-extractive
83770,single_train,single,image-span
83763,single_train,single,multi-span
148695,single_train,single,question-span
148690,single_train,single,image-span
148699,single_train,single,question-span
148692,single_train,single,multi-span
148693,single_train,single,non-extractive
148696,single_train,single,multi-span
148697,single_train,single,non-extractive
148698,single_train,single,image-span
148694,single_train,single,image-span
60431,single_train,single,question-span
60434,single_train,single,image-span
60435,single_train,single,non-extractive
60433,single_train,single,image-span
112448,single_train,single,multi-span
112445,single_train,single,multi-span
112447,single_train,single,image-span
112443,single_train,single,image-span
112446,single_train,single,non-extractive
112444,single_train,single,question-span
96344,single_train,single,question-span
96343,single_train,single,question-span
96341,single_train,single,multi-span
96345,single_train,single,question-span
96342,single_train,single,question-span
137696,single_train,single,non-extractive
137688,single_train,single,image-span
137690,single_train,single,multi-span
137695,single_train,single,question-span
137692,single_train,single,question-span
52587,single_train,single,multi-span
52590,single_train,single,question-span
52588,single_train,single,multi-span
52589,single_train,single,multi-span
52591,single_train,single,question-span
52593,single_train,single,non-extractive
114273,single_train,single,image-span
114267,single_train,single,image-span
114272,single_train,single,non-extractive
114271,single_train,single,question-span
114269,single_train,single,multi-span
114268,single_train,single,question-span
114270,single_train,single,non-extractive
14777,single_train,single,non-extractive
14776,single_train,single,multi-span
14780,single_train,single,non-extractive
14779,single_train,single,multi-span
14775,single_train,single,question-span
14774,single_train,single,image-span
14778,single_train,single,image-span
88851,single_train,single,image-span
88853,single_train,single,non-extractive
88855,single_train,single,non-extractive
88852,single_train,single,image-span
88849,single_train,single,question-span
88847,single_train,single,multi-span
88854,single_train,single,non-extractive
88848,single_train,single,multi-span
88850,single_train,single,question-span
93498,single_train,single,question-span
93501,single_train,single,image-span
93497,single_train,single,question-span
93502,single_train,single,non-extractive
93499,single_train,single,image-span
93503,single_train,single,non-extractive
93500,single_train,single,image-span
93496,single_train,single,multi-span
47739,single_train,single,question-span
47738,single_train,single,multi-span
47741,single_train,single,non-extractive
47742,single_train,single,non-extractive
47740,single_train,single,question-span
146247,single_train,single,multi-span
146249,single_train,single,image-span
146241,single_train,single,image-span
146242,single_train,single,question-span
146253,single_train,single,multi-span
146243,single_train,single,multi-span
146254,single_train,single,non-extractive
146251,single_train,single,multi-span
146246,single_train,single,question-span
146250,single_train,single,question-span
146248,single_train,single,non-extractive
146244,single_train,single,non-extractive
146245,single_train,single,image-span
45468,single_train,single,multi-span
45464,single_train,single,image-span
45463,single_train,single,non-extractive
45460,single_train,single,image-span
45465,single_train,single,question-span
45462,single_train,single,multi-span
45461,single_train,single,question-span
160673,single_train,single,image-span
160677,single_train,single,image-span
160670,single_train,single,question-span
160679,single_train,single,multi-span
160676,single_train,single,non-extractive
160669,single_train,single,image-span
160674,single_train,single,question-span
160680,single_train,single,non-extractive
160675,single_train,single,multi-span
160671,single_train,single,multi-span
160672,single_train,single,non-extractive
160678,single_train,single,question-span
118297,single_train,single,multi-span
118299,single_train,single,multi-span
118307,single_train,single,image-span
118308,single_train,single,non-extractive
118298,single_train,single,multi-span
118304,single_train,single,image-span
118306,single_train,single,image-span
118300,single_train,single,multi-span
118303,single_train,single,question-span
118305,single_train,single,image-span
144841,single_train,single,non-extractive
144840,single_train,single,question-span
144835,single_train,single,image-span
144834,single_train,single,non-extractive
144837,single_train,single,multi-span
144838,single_train,single,non-extractive
144836,single_train,single,question-span
144831,single_train,single,image-span
144833,single_train,single,multi-span
144832,single_train,single,question-span
311,single_train,single,non-extractive
307,single_train,single,image-span
304,single_train,single,image-span
306,single_train,single,multi-span
309,single_train,single,question-span
305,single_train,single,question-span
162731,single_train,single,non-extractive
162724,single_train,single,image-span
162730,single_train,single,multi-span
162727,single_train,single,non-extractive
162729,single_train,single,question-span
162726,single_train,single,multi-span
62213,single_train,single,image-span
62211,single_train,single,multi-span
62206,single_train,single,image-span
62208,single_train,single,non-extractive
62209,single_train,single,image-span
62216,single_train,single,multi-span
62207,single_train,single,question-span
62214,single_train,single,question-span
62217,single_train,single,non-extractive
62210,single_train,single,question-span
62212,single_train,single,non-extractive
62215,single_train,single,multi-span
87643,single_train,single,image-span
87638,single_train,single,multi-span
87641,single_train,single,question-span
87646,single_train,single,non-extractive
87640,single_train,single,multi-span
87645,single_train,single,image-span
87644,single_train,single,image-span
87639,single_train,single,multi-span
87642,single_train,single,question-span
51764,single_train,single,question-span
51766,single_train,single,image-span
51761,single_train,single,multi-span
51765,single_train,single,image-span
51763,single_train,single,question-span
51762,single_train,single,multi-span
51760,single_train,single,multi-span
7347,single_train,single,question-span
7346,single_train,single,image-span
7348,single_train,single,multi-span
7355,single_train,single,image-span
7352,single_train,single,image-span
7358,single_train,single,non-extractive
7353,single_train,single,question-span
7354,single_train,single,multi-span
7350,single_train,single,question-span
7349,single_train,single,non-extractive
7351,single_train,single,non-extractive
158864,single_train,single,multi-span
158862,single_train,single,image-span
158871,single_train,single,non-extractive
158870,single_train,single,multi-span
158874,single_train,single,multi-span
158873,single_train,single,question-span
158863,single_train,single,question-span
158872,single_train,single,image-span
37476,single_train,single,image-span
37468,single_train,single,multi-span
37474,single_train,single,question-span
37475,single_train,single,multi-span
37473,single_train,single,image-span
37466,single_train,single,image-span
37479,single_train,single,non-extractive
37470,single_train,single,image-span
37467,single_train,single,question-span
37472,single_train,single,multi-span
37469,single_train,single,non-extractive
37477,single_train,single,question-span
37471,single_train,single,question-span
69400,single_train,single,multi-span
69399,single_train,single,question-span
69398,single_train,single,image-span
69403,single_train,single,non-extractive
69401,single_train,single,non-extractive
69405,single_train,single,multi-span
5052,single_train,single,non-extractive
5053,single_train,single,image-span
5049,single_train,single,image-span
5057,single_train,single,non-extractive
5054,single_train,single,question-span
5050,single_train,single,question-span
28893,single_train,single,multi-span
28889,single_train,single,multi-span
28887,single_train,single,image-span
28892,single_train,single,question-span
28894,single_train,single,non-extractive
28883,single_train,single,image-span
28886,single_train,single,non-extractive
28884,single_train,single,question-span
28890,single_train,single,non-extractive
28885,single_train,single,multi-span
28891,single_train,single,image-span
28895,single_train,single,image-span
33033,single_train,single,question-span
33028,single_train,single,image-span
33030,single_train,single,multi-span
33029,single_train,single,question-span
33031,single_train,single,non-extractive
33032,single_train,single,image-span
156842,single_train,single,non-extractive
156838,single_train,single,image-span
156841,single_train,single,question-span
156845,single_train,single,multi-span
156846,single_train,single,non-extractive
156839,single_train,single,multi-span
156840,single_train,single,image-span
156843,single_train,single,image-span
156844,single_train,single,question-span
24702,single_train,single,non-extractive
24701,single_train,single,multi-span
24706,single_train,single,non-extractive
24705,single_train,single,multi-span
24700,single_train,single,question-span
24699,single_train,single,image-span
24703,single_train,single,image-span
24704,single_train,single,question-span
45934,single_train,single,non-extractive
45935,single_train,single,image-span
45931,single_train,single,multi-span
45932,single_train,single,non-extractive
45929,single_train,single,image-span
45930,single_train,single,question-span
110507,single_train,single,non-extractive
110510,single_train,single,multi-span
110506,single_train,single,multi-span
110512,single_train,single,question-span
110505,single_train,single,question-span
110514,single_train,single,non-extractive
110511,single_train,single,image-span
110508,single_train,single,image-span
110504,single_train,single,image-span
120966,single_train,single,question-span
120969,single_train,single,image-span
120967,single_train,single,image-span
120963,single_train,single,multi-span
120968,single_train,single,image-span
120970,single_train,single,non-extractive
120964,single_train,single,question-span
120965,single_train,single,question-span
120962,single_train,single,multi-span
52946,single_train,single,image-span
52943,single_train,single,question-span
52948,single_train,single,non-extractive
52942,single_train,single,multi-span
52944,single_train,single,question-span
52947,single_train,single,non-extractive
52949,single_train,single,non-extractive
52945,single_train,single,image-span
95805,single_train,single,question-span
95806,single_train,single,question-span
95803,single_train,single,multi-span
95807,single_train,single,image-span
95809,single_train,single,non-extractive
127567,single_train,single,non-extractive
127571,single_train,single,non-extractive
127572,single_train,single,image-span
127564,single_train,single,image-span
127570,single_train,single,multi-span
127568,single_train,single,image-span
127569,single_train,single,question-span
127565,single_train,single,question-span
127566,single_train,single,multi-span
132443,single_train,single,image-span
132447,single_train,single,question-span
132444,single_train,single,question-span
132448,single_train,single,multi-span
132442,single_train,single,non-extractive
132441,single_train,single,multi-span
132440,single_train,single,question-span
132439,single_train,single,image-span
132446,single_train,single,non-extractive
157021,single_train,single,question-span
157020,single_train,single,image-span
157022,single_train,single,multi-span
157026,single_train,single,non-extractive
157027,single_train,single,non-extractive
157024,single_train,single,image-span
157028,single_train,single,image-span
157025,single_train,single,multi-span
157023,single_train,single,non-extractive
51144,single_train,single,question-span
51145,single_train,single,image-span
51143,single_train,single,question-span
51148,single_train,single,non-extractive
51147,single_train,single,non-extractive
51146,single_train,single,image-span
51142,single_train,single,multi-span
64128,single_train,single,multi-span
64119,single_train,single,non-extractive
64129,single_train,single,non-extractive
64125,single_train,single,non-extractive
64116,single_train,single,image-span
64123,single_train,single,non-extractive
64118,single_train,single,multi-span
64120,single_train,single,image-span
64127,single_train,single,question-span
60620,single_train,single,multi-span
60629,single_train,single,non-extractive
60621,single_train,single,multi-span
60626,single_train,single,image-span
60624,single_train,single,question-span
60628,single_train,single,non-extractive
60625,single_train,single,question-span
60623,single_train,single,question-span
60627,single_train,single,image-span
60622,single_train,single,multi-span
164338,single_train,single,image-span
164343,single_train,single,multi-span
164339,single_train,single,question-span
164340,single_train,single,multi-span
113616,single_train,single,question-span
113618,single_train,single,image-span
113614,single_train,single,non-extractive
113621,single_train,single,non-extractive
113615,single_train,single,image-span
113617,single_train,single,multi-span
113613,single_train,single,multi-span
70352,single_train,single,multi-span
70346,single_train,single,non-extractive
70344,single_train,single,question-span
70348,single_train,single,question-span
70343,single_train,single,image-span
70345,single_train,single,multi-span
70351,single_train,single,question-span
70350,single_train,single,image-span
70347,single_train,single,image-span
70349,single_train,single,non-extractive
95953,single_train,single,image-span
95954,single_train,single,image-span
95947,single_train,single,multi-span
95952,single_train,single,question-span
95948,single_train,single,multi-span
95951,single_train,single,question-span
95949,single_train,single,multi-span
95950,single_train,single,question-span
120579,single_train,single,question-span
120577,single_train,single,question-span
120574,single_train,single,multi-span
120572,single_train,single,multi-span
120580,single_train,single,image-span
120578,single_train,single,question-span
120584,single_train,single,non-extractive
120575,single_train,single,multi-span
120581,single_train,single,image-span
120583,single_train,single,image-span
120576,single_train,single,question-span
120582,single_train,single,image-span
120573,single_train,single,multi-span
105035,single_train,single,image-span
105033,single_train,single,multi-span
105034,single_train,single,non-extractive
105041,single_train,single,multi-span
105038,single_train,single,non-extractive
105042,single_train,single,non-extractive
105031,single_train,single,image-span
105036,single_train,single,question-span
105032,single_train,single,question-span
105040,single_train,single,question-span
105037,single_train,single,multi-span
38402,single_train,single,multi-span
38406,single_train,single,multi-span
38405,single_train,single,question-span
38410,single_train,single,non-extractive
38400,single_train,single,image-span
38407,single_train,single,non-extractive
38403,single_train,single,non-extractive
38401,single_train,single,question-span
38404,single_train,single,image-span
150702,single_train,single,non-extractive
150698,single_train,single,image-span
150701,single_train,single,non-extractive
150699,single_train,single,question-span
103136,single_train,single,multi-span
103138,single_train,single,image-span
103142,single_train,single,image-span
103134,single_train,single,image-span
103137,single_train,single,non-extractive
103144,single_train,single,multi-span
103145,single_train,single,non-extractive
103140,single_train,single,multi-span
103141,single_train,single,non-extractive
32403,single_train,single,question-span
32407,single_train,single,question-span
32408,single_train,single,non-extractive
32405,single_train,single,non-extractive
32402,single_train,single,image-span
88779,single_train,single,multi-span
88784,single_train,single,question-span
88786,single_train,single,question-span
88785,single_train,single,question-span
88781,single_train,single,multi-span
88787,single_train,single,image-span
88792,single_train,single,non-extractive
88780,single_train,single,multi-span
88789,single_train,single,image-span
88783,single_train,single,question-span
88791,single_train,single,non-extractive
120452,single_train,single,multi-span
120451,single_train,single,multi-span
120454,single_train,single,question-span
120455,single_train,single,question-span
120456,single_train,single,question-span
120457,single_train,single,image-span
120459,single_train,single,image-span
120460,single_train,single,image-span
120463,single_train,single,non-extractive
120458,single_train,single,image-span
120462,single_train,single,non-extractive
120461,single_train,single,non-extractive
120453,single_train,single,multi-span
30323,single_train,single,multi-span
30319,single_train,single,multi-span
30317,single_train,single,image-span
30318,single_train,single,question-span
30320,single_train,single,non-extractive
30322,single_train,single,question-span
30321,single_train,single,image-span
122693,single_train,single,image-span
122688,single_train,single,question-span
122690,single_train,single,question-span
122686,single_train,single,multi-span
122687,single_train,single,multi-span
122691,single_train,single,image-span
122692,single_train,single,image-span
122694,single_train,single,non-extractive
122685,single_train,single,multi-span
147366,single_train,single,question-span
147365,single_train,single,image-span
147367,single_train,single,multi-span
147370,single_train,single,image-span
147368,single_train,single,non-extractive
48068,single_train,single,question-span
48066,single_train,single,multi-span
48067,single_train,single,multi-span
48069,single_train,single,question-span
48071,single_train,single,image-span
48072,single_train,single,image-span
48074,single_train,single,non-extractive
48070,single_train,single,image-span
7413,single_train,single,non-extractive
7409,single_train,single,non-extractive
7411,single_train,single,question-span
7410,single_train,single,image-span
7406,single_train,single,image-span
7415,single_train,single,non-extractive
7412,single_train,single,multi-span
7407,single_train,single,question-span
7408,single_train,single,multi-span
38019,single_train,single,non-extractive
38024,single_train,single,question-span
38020,single_train,single,image-span
38018,single_train,single,multi-span
38025,single_train,single,multi-span
38022,single_train,single,non-extractive
110248,single_train,single,image-span
110249,single_train,single,question-span
110246,single_train,single,question-span
110255,single_train,single,non-extractive
110252,single_train,single,image-span
110251,single_train,single,non-extractive
110250,single_train,single,multi-span
110247,single_train,single,multi-span
66089,single_train,single,question-span
66086,single_train,single,multi-span
66085,single_train,single,question-span
66091,single_train,single,image-span
66090,single_train,single,multi-span
66094,single_train,single,non-extractive
66084,single_train,single,image-span
66088,single_train,single,image-span
66087,single_train,single,non-extractive
49155,single_train,single,multi-span
49160,single_train,single,image-span
49161,single_train,single,non-extractive
49159,single_train,single,image-span
49156,single_train,single,multi-span
49158,single_train,single,question-span
49154,single_train,single,multi-span
49157,single_train,single,question-span
71130,single_train,single,image-span
71128,single_train,single,multi-span
71129,single_train,single,non-extractive
71127,single_train,single,question-span
71131,single_train,single,question-span
71126,single_train,single,image-span
71132,single_train,single,multi-span
71133,single_train,single,non-extractive
142966,single_train,single,non-extractive
142960,single_train,single,question-span
142957,single_train,single,question-span
142959,single_train,single,non-extractive
142962,single_train,single,non-extractive
142953,single_train,single,question-span
142956,single_train,single,image-span
142958,single_train,single,multi-span
142955,single_train,single,non-extractive
142954,single_train,single,multi-span
142961,single_train,single,multi-span
142952,single_train,single,image-span
89753,single_train,single,question-span
89756,single_train,single,image-span
89754,single_train,single,question-span
89752,single_train,single,question-span
89755,single_train,single,image-span
89757,single_train,single,image-span
89751,single_train,single,multi-span
89758,single_train,single,non-extractive
31442,single_train,single,image-span
31445,single_train,single,non-extractive
31441,single_train,single,multi-span
31440,single_train,single,question-span
31443,single_train,single,question-span
31439,single_train,single,image-span
143643,single_train,single,non-extractive
143641,single_train,single,question-span
143648,single_train,single,question-span
143645,single_train,single,multi-span
143646,single_train,single,non-extractive
143642,single_train,single,multi-span
143647,single_train,single,image-span
143644,single_train,single,image-span
143640,single_train,single,image-span
61285,single_train,single,image-span
61281,single_train,single,multi-span
61283,single_train,single,question-span
61284,single_train,single,question-span
61282,single_train,single,multi-span
61287,single_train,single,non-extractive
101915,single_train,single,question-span
101918,single_train,single,multi-span
101919,single_train,single,non-extractive
101920,single_train,single,image-span
101916,single_train,single,multi-span
101917,single_train,single,non-extractive
105056,single_train,single,question-span
105057,single_train,single,multi-span
105052,single_train,single,question-span
105058,single_train,single,non-extractive
105053,single_train,single,multi-span
105055,single_train,single,image-span
105051,single_train,single,image-span
139775,single_train,single,multi-span
139781,single_train,single,non-extractive
139776,single_train,single,non-extractive
139785,single_train,single,non-extractive
139778,single_train,single,multi-span
139784,single_train,single,multi-span
139780,single_train,single,question-span
139777,single_train,single,image-span
139779,single_train,single,image-span
139773,single_train,single,image-span
139774,single_train,single,question-span
139783,single_train,single,question-span
145709,single_train,single,question-span
145708,single_train,single,image-span
145706,single_train,single,multi-span
145714,single_train,single,multi-span
145707,single_train,single,non-extractive
145713,single_train,single,question-span
145704,single_train,single,image-span
102505,single_train,single,multi-span
102503,single_train,single,image-span
102504,single_train,single,question-span
102507,single_train,single,image-span
102506,single_train,single,non-extractive
123968,single_train,single,image-span
123967,single_train,single,multi-span
123966,single_train,single,multi-span
123969,single_train,single,image-span
159286,single_train,single,non-extractive
159287,single_train,single,image-span
159285,single_train,single,question-span
159284,single_train,single,image-span
83391,single_train,single,multi-span
83397,single_train,single,image-span
83390,single_train,single,multi-span
83395,single_train,single,image-span
83396,single_train,single,image-span
83398,single_train,single,non-extractive
83393,single_train,single,question-span
157644,single_train,single,question-span
157647,single_train,single,multi-span
157640,single_train,single,image-span
157646,single_train,single,image-span
157643,single_train,single,image-span
157648,single_train,single,non-extractive
157641,single_train,single,multi-span
157642,single_train,single,non-extractive
157645,single_train,single,non-extractive
56419,single_train,single,image-span
56415,single_train,single,multi-span
56417,single_train,single,question-span
56416,single_train,single,question-span
56414,single_train,single,multi-span
56418,single_train,single,question-span
84948,single_train,single,question-span
84952,single_train,single,image-span
84945,single_train,single,multi-span
84947,single_train,single,multi-span
84953,single_train,single,image-span
84950,single_train,single,question-span
84949,single_train,single,question-span
84955,single_train,single,non-extractive
84946,single_train,single,multi-span
84951,single_train,single,image-span
22149,single_train,single,non-extractive
22147,single_train,single,question-span
22153,single_train,single,image-span
22155,single_train,single,multi-span
22148,single_train,single,multi-span
22146,single_train,single,image-span
91491,single_train,single,image-span
91493,single_train,single,non-extractive
91494,single_train,single,non-extractive
91486,single_train,single,multi-span
91487,single_train,single,question-span
91485,single_train,single,multi-span
91492,single_train,single,non-extractive
91489,single_train,single,image-span
91490,single_train,single,image-span
91488,single_train,single,question-span
62343,single_train,single,non-extractive
62347,single_train,single,image-span
62342,single_train,single,question-span
62340,single_train,single,non-extractive
62344,single_train,single,image-span
62339,single_train,single,multi-span
62338,single_train,single,image-span
62349,single_train,single,non-extractive
62348,single_train,single,question-span
62341,single_train,single,image-span
62346,single_train,single,multi-span
119009,single_train,single,question-span
119005,single_train,single,multi-span
119016,single_train,single,non-extractive
119012,single_train,single,image-span
119008,single_train,single,question-span
119007,single_train,single,multi-span
119010,single_train,single,question-span
119015,single_train,single,image-span
119011,single_train,single,question-span
119013,single_train,single,image-span
119006,single_train,single,multi-span
66402,single_train,single,non-extractive
66399,single_train,single,image-span
66397,single_train,single,image-span
66398,single_train,single,non-extractive
66401,single_train,single,multi-span
66400,single_train,single,question-span
66404,single_train,single,question-span
134916,single_train,single,non-extractive
134914,single_train,single,question-span
134918,single_train,single,non-extractive
134913,single_train,single,non-extractive
134917,single_train,single,multi-span
134910,single_train,single,image-span
134915,single_train,single,multi-span
73772,single_train,single,question-span
73770,single_train,single,non-extractive
73768,single_train,single,question-span
73769,single_train,single,multi-span
73767,single_train,single,image-span
73773,single_train,single,multi-span
44668,single_train,single,multi-span
44666,single_train,single,image-span
44677,single_train,single,multi-span
44672,single_train,single,multi-span
44669,single_train,single,non-extractive
44675,single_train,single,non-extractive
44674,single_train,single,multi-span
44673,single_train,single,image-span
91371,single_train,single,image-span
91365,single_train,single,multi-span
91366,single_train,single,multi-span
91367,single_train,single,question-span
91368,single_train,single,question-span
91373,single_train,single,non-extractive
91374,single_train,single,non-extractive
91372,single_train,single,image-span
91370,single_train,single,image-span
91364,single_train,single,multi-span
51380,single_train,single,question-span
51377,single_train,single,multi-span
51379,single_train,single,multi-span
51381,single_train,single,question-span
49995,single_train,single,image-span
49993,single_train,single,question-span
49991,single_train,single,question-span
49994,single_train,single,image-span
49992,single_train,single,question-span
49990,single_train,single,multi-span
49989,single_train,single,multi-span
49997,single_train,single,non-extractive
49988,single_train,single,multi-span
69248,single_train,single,image-span
69245,single_train,single,question-span
69247,single_train,single,non-extractive
69251,single_train,single,non-extractive
69244,single_train,single,image-span
69250,single_train,single,non-extractive
69246,single_train,single,multi-span
