question_id,split_name,task_family,question_type,reasoning_mode
154018,single_train,single,which,lookup
154017,single_train,single,what,lookup
154020,single_train,single,how_many,reasoning
154024,single_train,single,how_many,reasoning
150384,single_train,single,which,lookup
150387,single_train,single,which,lookup
150383,single_train,single,what,lookup
150388,single_train,single,how_many,lookup
150393,single_train,single,how_many,reasoning
150389,single_train,single,which,lookup
150386,single_train,single,how_many,reasoning
150385,single_train,single,which,lookup
84325,single_train,single,which,lookup
84319,single_train,single,what,reasoning
84326,single_train,single,how_many,reasoning
84322,single_train,single,which,lookup
84320,single_train,single,how_many,reasoning
84324,single_train,single,how_many,reasoning
84323,single_train,single,which,lookup
84321,single_train,single,which,reasoning
84327,single_train,single,how_many,reasoning
98740,single_train,single,which,lookup
98745,single_train,single,how_many,reasoning
98741,single_train,single,how_many,reasoning
98744,single_train,single,which,lookup
10424,single_train,single,how_many,reasoning
10419,single_train,single,which,lookup
10421,single_train,single,which,lookup
10423,single_train,single,which,lookup
10418,single_train,single,how_many,reasoning
10422,single_train,single,how_many,reasoning
10416,single_train,single,how_many,lookup
10420,single_train,single,other,lookup
10425,single_train,single,how_many,reasoning
10417,single_train,single,how_many,lookup
10415,single_train,single,which,lookup
6792,single_train,single,which,lookup
6785,single_train,single,which,lookup
6780,single_train,single,which,lookup
6783,single_train,single,which,lookup
6782,single_train,single,how_many,reasoning
6781,single_train,single,which,lookup
6784,single_train,single,which,lookup
6779,single_train,single,which,reasoning
6788,single_train,single,which,lookup
6791,single_train,single,which,lookup
6790,single_train,single,how_many,reasoning
6786,single_train,single,how_many,reasoning
6789,single_train,single,which,lookup
6787,single_train,single,when,reasoning
137939,single_train,single,how_many,reasoning
137936,single_train,single,which,reasoning
137938,single_train,single,which,lookup
137943,single_train,single,how_many,reasoning
137937,single_train,single,other,lookup
137941,single_train,single,which,reasoning
153863,single_train,single,how_many,reasoning
153870,single_train,single,how_many,reasoning
153865,single_train,single,which,lookup
153864,single_train,single,what,lookup
153860,single_train,single,what,lookup
153862,single_train,single,what,lookup
153866,single_train,single,what,lookup
107171,single_train,single,count,lookup
107169,single_train,single,which,lookup
107165,single_train,single,how_many,lookup
107168,single_train,single,how_many,lookup
107167,single_train,single,how_many,reasoning
107164,single_train,single,when,lookup
107166,single_train,single,which,lookup
107172,single_train,single,what,lookup
107170,single_train,single,which,lookup
83772,single_train,single,how_many,reasoning
83771,single_train,single,how_many,reasoning
83764,single_train,single,how_many,reasoning
83773,single_train,single,how_many,reasoning
83770,single_train,single,how_many,lookup
83763,single_train,single,what,reasoning
148695,single_train,single,what,lookup
148690,single_train,single,which,lookup
148699,single_train,single,list,lookup
148692,single_train,single,which,lookup
148693,single_train,single,which,reasoning
148696,single_train,single,which,lookup
148697,single_train,single,how_many,reasoning
148698,single_train,single,what,lookup
148694,single_train,single,which,lookup
60431,single_train,single,which,lookup
60434,single_train,single,which,lookup
60435,single_train,single,count,reasoning
60433,single_train,single,which,lookup
112448,single_train,single,which,lookup
112445,single_train,single,which,lookup
112447,single_train,single,what,lookup
112443,single_train,single,what,lookup
112446,single_train,single,how_many,reasoning
112444,single_train,single,which,lookup
96344,single_train,single,which,lookup
96343,single_train,single,other,lookup
96341,single_train,single,which,lookup
96345,single_train,single,other,lookup
96342,single_train,single,which,lookup
137696,single_train,single,how_many,reasoning
137688,single_train,single,which,reasoning
137690,single_train,single,which,lookup
137695,single_train,single,compare,reasoning
137692,single_train,single,count,reasoning
52587,single_train,single,list,lookup
52590,single_train,single,which,lookup
52588,single_train,single,which,lookup
52589,single_train,single,which,reasoning
52591,single_train,single,other,lookup
52593,single_train,single,how_many,reasoning
114273,single_train,single,how_many,lookup
114267,single_train,single,how_many,reasoning
114272,single_train,single,which,reasoning
114271,single_train,single,what,lookup
114269,single_train,single,how_many,reasoning
114268,single_train,single,what,lookup
114270,single_train,single,how_many,reasoning
14777,single_train,single,how_many,reasoning
14776,single_train,single,compare,reasoning
14780,single_train,single,how_many,reasoning
14779,single_train,single,which,lookup
14775,single_train,single,compare,reasoning
14774,single_train,single,compare,reasoning
14778,single_train,single,what,lookup
88851,single_train,single,how_many,reasoning
88853,single_train,single,how_many,reasoning
88855,single_train,single,how_many,reasoning
88852,single_train,single,how_many,lookup
88849,single_train,single,which,lookup
88847,single_train,single,how_many,reasoning
88854,single_train,single,how_many,reasoning
88848,single_train,single,compare,reasoning
88850,single_train,single,which,lookup
93498,single_train,single,which,lookup
93501,single_train,single,how_many,lookup
93497,single_train,single,compare,reasoning
93502,single_train,single,compare,reasoning
93499,single_train,single,how_many,lookup
93503,single_train,single,compare,reasoning
93500,single_train,single,when,lookup
93496,single_train,single,which,lookup
47739,single_train,single,which,lookup
47738,single_train,single,which,reasoning
47741,single_train,single,how_many,reasoning
47742,single_train,single,how_many,reasoning
47740,single_train,single,other,lookup
146247,single_train,single,which,lookup
146249,single_train,single,which,lookup
146241,single_train,single,which,lookup
146242,single_train,single,list,lookup
146253,single_train,single,which,lookup
146243,single_train,single,which,lookup
146254,single_train,single,how_many,reasoning
146251,single_train,single,when,lookup
146246,single_train,single,other,lookup
146250,single_train,single,other,lookup
146248,single_train,single,how_many,reasoning
146244,single_train,single,how_many,reasoning
146245,single_train,single,what,lookup
45468,single_train,single,which,lookup
45464,single_train,single,what,lookup
45463,single_train,single,how_many,reasoning
45460,single_train,single,which,lookup
45465,single_train,single,which,lookup
45462,single_train,single,which,lookup
45461,single_train,single,other,lookup
160673,single_train,single,what,lookup
160677,single_train,single,which,lookup
160670,single_train,single,what,lookup
160679,single_train,single,which,lookup
160676,single_train,single,how_many,reasoning
160669,single_train,single,which,lookup
160674,single_train,single,how_many,reasoning
160680,single_train,single,how_many,reasoning
160675,single_train,single,when,lookup
160671,single_train,single,which,lookup
160672,single_train,single,how_many,reasoning
160678,single_train,single,how_many,reasoning
118297,single_train,single,how_many,lookup
118299,single_train,single,which,lookup
118307,single_train,single,what,lookup
118308,single_train,single,how_many,reasoning
118298,single_train,single,which,lookup
118304,single_train,single,what,lookup
118306,single_train,single,what,lookup
118300,single_train,single,which,lookup
118303,single_train,single,when,lookup
118305,single_train,single,what,lookup
144841,single_train,single,how_many,reasoning
144840,single_train,single,which,lookup
144835,single_train,single,what,lookup
144834,single_train,single,how_many,reasoning
144837,single_train,single,what,lookup
144838,single_train,single,how_many,reasoning
144836,single_train,single,which,lookup
144831,single_train,single,which,lookup
144833,single_train,single,which,lookup
144832,single_train,single,list,lookup
311,single_train,single,how_many,reasoning
307,single_train,single,how_many,reasoning
304,single_train,single,what,lookup
306,single_train,single,which,lookup
309,single_train,single,what,lookup
305,single_train,single,what,lookup
162731,single_train,single,how_many,reasoning
162724,single_train,single,which,lookup
162730,single_train,single,what,lookup
162727,single_train,single,how_many,reasoning
162729,single_train,single,list,reasoning
162726,single_train,single,which,lookup
62213,single_train,single,how_many,lookup
62211,single_train,single,which,lookup
62206,single_train,single,which,lookup
62208,single_train,single,how_many,reasoning
62209,single_train,single,which,lookup
62216,single_train,single,which,lookup
62207,single_train,single,which,lookup
62214,single_train,single,what,lookup
62217,single_train,single,how_many,reasoning
62210,single_train,single,how_many,lookup
62212,single_train,single,how_many,reasoning
62215,single_train,single,which,lookup
87643,single_train,single,which,lookup
87638,single_train,single,how_many,lookup
87641,single_train,single,which,lookup
87646,single_train,single,how_many,reasoning
87640,single_train,single,which,reasoning
87645,single_train,single,what,lookup
87644,single_train,single,which,lookup
87639,single_train,single,which,lookup
87642,single_train,single,which,lookup
51764,single_train,single,other,lookup
51766,single_train,single,how_many,lookup
51761,single_train,single,which,lookup
51765,single_train,single,which,lookup
51763,single_train,single,which,lookup
51762,single_train,single,which,lookup
51760,single_train,single,list,reasoning
7347,single_train,single,count,lookup
7346,single_train,single,which,lookup
7348,single_train,single,which,lookup
7355,single_train,single,which,lookup
7352,single_train,single,which,reasoning
7358,single_train,single,how_many,reasoning
7353,single_train,single,what,lookup
7354,single_train,single,how_many,reasoning
7350,single_train,single,count,reasoning
7349,single_train,single,how_many,reasoning
7351,single_train,single,how_many,reasoning
158864,single_train,single,which,lookup
158862,single_train,single,which,lookup
158871,single_train,single,how_many,reasoning
158870,single_train,single,how_many,lookup
158874,single_train,single,which,lookup
158873,single_train,single,other,lookup
158863,single_train,single,compare,reasoning
158872,single_train,single,what,lookup
37476,single_train,single,what,lookup
37468,single_train,single,which,lookup
37474,single_train,single,which,lookup
37475,single_train,single,what,lookup
37473,single_train,single,what,lookup
37466,single_train,single,which,lookup
37479,single_train,single,how_many,reasoning
37470,single_train,single,which,lookup
37467,single_train,single,other,lookup
37472,single_train,single,which,lookup
37469,single_train,single,how_many,reasoning
37477,single_train,single,which,lookup
37471,single_train,single,list,lookup
69400,single_train,single,which,lookup
69399,single_train,single,which,lookup
69398,single_train,single,which,lookup
69403,single_train,single,how_many,reasoning
69401,single_train,single,how_many,reasoning
69405,single_train,single,what,lookup
5052,single_train,single,compare,reasoning
5053,single_train,single,what,lookup
5049,single_train,single,which,lookup
5057,single_train,single,how_many,reasoning
5054,single_train,single,what,lookup
5050,single_train,single,which,lookup
28893,single_train,single,how_many,reasoning
28889,single_train,single,which,lookup
28887,single_train,single,how_many,lookup
28892,single_train,single,how_many,lookup
28894,single_train,single,how_many,reasoning
28883,single_train,single,how_many,lookup
28886,single_train,single,how_many,reasoning
28884,single_train,single,what,lookup
28890,single_train,single,how_many,reasoning
28885,single_train,single,how_many,lookup
28891,single_train,single,how_many,lookup
28895,single_train,single,which,lookup
33033,single_train,single,how_many,reasoning
33028,single_train,single,what,lookup
33030,single_train,single,how_many,lookup
33029,single_train,single,how_many,lookup
33031,single_train,single,how_many,reasoning
33032,single_train,single,what,lookup
156842,single_train,single,how_many,reasoning
156838,single_train,single,which,lookup
156841,single_train,single,which,lookup
156845,single_train,single,how_many,lookup
156846,single_train,single,how_many,reasoning
156839,single_train,single,which,lookup
156840,single_train,single,what,lookup
156843,single_train,single,which,lookup
156844,single_train,single,what,lookup
24702,single_train,single,how_many,reasoning
24701,single_train,single,which,lookup
24706,single_train,single,how_many,reasoning
24705,single_train,single,which,reasoning
24700,single_train,single,what,reasoning
24699,single_train,single,what,reasoning
24703,single_train,single,which,reasoning
24704,single_train,single,how_many,lookup
45934,single_train,single,how_many,reasoning
45935,single_train,single,which,lookup
45931,single_train,single,which,lookup
45932,single_train,single,how_many,reasoning
45929,single_train,single,how_many,lookup
45930,single_train,single,which,lookup
110507,single_train,single,how_many,reasoning
110510,single_train,single,which,lookup
110506,single_train,single,how_many,lookup
110512,single_train,single,list,lookup
110505,single_train,single,count,lookup
110514,single_train,single,how_many,reasoning
110511,single_train,single,which,lookup
110508,single_train,single,how_many,reasoning
110504,single_train,single,how_many,reasoning
120966,single_train,single,how_many,lookup
120969,single_train,single,how_many,lookup
120967,single_train,single,what,lookup
120963,single_train,single,how_many,lookup
120968,single_train,single,which,lookup
120970,single_train,single,how_many,reasoning
120964,single_train,single,which,lookup
120965,single_train,single,which,lookup
120962,single_train,single,compare,reasoning
52946,single_train,single,how_many,lookup
52943,single_train,single,which,lookup
52948,single_train,single,list,reasoning
52942,single_train,single,which,reasoning
52944,single_train,single,other,lookup
52947,single_train,single,how_many,reasoning
52949,single_train,single,how_many,reasoning
52945,single_train,single,which,lookup
95805,single_train,single,how_many,reasoning
95806,single_train,single,which,lookup
95803,single_train,single,how_many,reasoning
95807,single_train,single,how_many,reasoning
95809,single_train,single,how_many,reasoning
127567,single_train,single,how_many,reasoning
127571,single_train,single,how_many,reasoning
127572,single_train,single,which,lookup
127564,single_train,single,which,lookup
127570,single_train,single,which,lookup
127568,single_train,single,how_many,lookup
127569,single_train,single,which,reasoning
127565,single_train,single,other,lookup
127566,single_train,single,which,lookup
132443,single_train,single,how_many,lookup
132447,single_train,single,other,reasoning
132444,single_train,single,which,lookup
132448,single_train,single,what,lookup
132442,single_train,single,how_many,reasoning
132441,single_train,single,which,lookup
132440,single_train,single,how_many,lookup
132439,single_train,single,how_many,lookup
132446,single_train,single,how_many,reasoning
157021,single_train,single,which,lookup
157020,single_train,single,which,lookup
157022,single_train,single,how_many,lookup
157026,single_train,single,how_many,reasoning
157027,single_train,single,how_many,reasoning
157024,single_train,single,which,lookup
157028,single_train,single,which,lookup
157025,single_train,single,which,lookup
157023,single_train,single,how_many,reasoning
51144,single_train,single,how_many,lookup
51145,single_train,single,which,lookup
51143,single_train,single,which,lookup
51148,single_train,single,how_many,reasoning
51147,single_train,single,how_many,reasoning
51146,single_train,single,how_many,lookup
51142,single_train,single,which,lookup
64128,single_train,single,how_many,lookup
64119,single_train,single,how_many,reasoning
64129,single_train,single,how_many,reasoning
64125,single_train,single,how_many,reasoning
64116,single_train,single,how_many,lookup
64123,single_train,single,how_many,reasoning
64118,single_train,single,what,lookup
64120,single_train,single,which,lookup
64127,single_train,single,which,lookup
60620,single_train,single,which,lookup
60629,single_train,single,how_many,reasoning
60621,single_train,single,how_many,reasoning
60626,single_train,single,which,lookup
60624,single_train,single,other,lookup
60628,single_train,single,how_many,reasoning
60625,single_train,single,how_many,lookup
60623,single_train,single,which,lookup
60627,single_train,single,how_many,lookup
60622,single_train,single,which,lookup
164338,single_train,single,what,lookup
164343,single_train,single,how_many,lookup
164339,single_train,single,which,lookup
164340,single_train,single,what,lookup
113616,single_train,single,which,lookup
113618,single_train,single,which,lookup
113614,single_train,single,how_many,reasoning
113621,single_train,single,how_many,reasoning
113615,single_train,single,how_many,reasoning
113617,single_train,single,how_many,lookup
113613,single_train,single,how_many,lookup
70352,single_train,single,compare,reasoning
70346,single_train,single,how_many,reasoning
70344,single_train,single,which,lookup
70348,single_train,single,what,lookup
70343,single_train,single,what,lookup
70345,single_train,single,which,lookup
70351,single_train,single,other,lookup
70350,single_train,single,which,lookup
70347,single_train,single,which,lookup
70349,single_train,single,how_many,reasoning
95953,single_train,single,how_many,lookup
95954,single_train,single,how_many,lookup
95947,single_train,single,what,reasoning
95952,single_train,single,count,lookup
95948,single_train,single,how_many,reasoning
95951,single_train,single,what,lookup
95949,single_train,single,when,reasoning
95950,single_train,single,which,lookup
120579,single_train,single,which,lookup
120577,single_train,single,which,reasoning
120574,single_train,single,which,reasoning
120572,single_train,single,what,reasoning
120580,single_train,single,how_many,lookup
120578,single_train,single,what,lookup
120584,single_train,single,how_many,reasoning
120575,single_train,single,which,lookup
120581,single_train,single,how_many,lookup
120583,single_train,single,how_many,lookup
120576,single_train,single,what,lookup
120582,single_train,single,what,lookup
120573,single_train,single,what,reasoning
105035,single_train,single,how_many,lookup
105033,single_train,single,which,reasoning
105034,single_train,single,how_many,reasoning
105041,single_train,single,which,reasoning
105038,single_train,single,how_many,reasoning
105042,single_train,single,how_many,reasoning
105031,single_train,single,what,reasoning
105036,single_train,single,compare,reasoning
105032,single_train,single,what,lookup
105040,single_train,single,compare,reasoning
105037,single_train,single,which,reasoning
38402,single_train,single,which,lookup
38406,single_train,single,how_many,lookup
38405,single_train,single,how_many,lookup
38410,single_train,single,how_many,reasoning
38400,single_train,single,which,lookup
38407,single_train,single,how_many,reasoning
38403,single_train,single,how_many,reasoning
38401,single_train,single,what,lookup
38404,single_train,single,which,lookup
150702,single_train,single,how_many,reasoning
150698,single_train,single,when,reasoning
150701,single_train,single,how_many,reasoning
150699,single_train,single,how_many,lookup
103136,single_train,single,what,lookup
103138,single_train,single,which,lookup
103142,single_train,single,which,lookup
103134,single_train,single,which,lookup
103137,single_train,single,how_many,reasoning
103144,single_train,single,which,lookup
103145,single_train,single,how_many,reasoning
103140,single_train,single,which,lookup
103141,single_train,single,how_many,reasoning
32403,single_train,single,which,lookup
32407,single_train,single,what,lookup
32408,single_train,single,how_many,reasoning
32405,single_train,single,how_many,reasoning
32402,single_train,single,what,lookup
88779,single_train,single,what,lookup
88784,single_train,single,other,reasoning
88786,single_train,single,when,lookup
88785,single_train,single,when,lookup
88781,single_train,single,which,reasoning
88787,single_train,single,which,lookup
88792,single_train,single,how_many,reasoning
88780,single_train,single,which,reasoning
88789,single_train,single,what,lookup
88783,single_train,single,which,lookup
88791,single_train,single,how_many,reasoning
120452,single_train,single,how_many,reasoning
120451,single_train,single,how_many,lookup
120454,single_train,single,which,lookup
120455,single_train,single,other,lookup
120456,single_train,single,how_many,lookup
120457,single_train,single,which,lookup
120459,single_train,single,which,lookup
120460,single_train,single,how_many,lookup
120463,single_train,single,how_many,reasoning
120458,single_train,single,how_many,lookup
120462,single_train,single,how_many,reasoning
120461,single_train,single,how_many,reasoning
120453,single_train,single,how_many,lookup
30323,single_train,single,how_many,lookup
30319,single_train,single,what,lookup
30317,single_train,single,other,lookup
30318,single_train,single,which,lookup
30320,single_train,single,how_many,reasoning
30322,single_train,single,what,lookup
30321,single_train,single,which,lookup
122693,single_train,single,which,lookup
122688,single_train,single,which,lookup
122690,single_train,single,what,lookup
122686,single_train,single,which,lookup
122687,single_train,single,what,reasoning
122691,single_train,single,which,lookup
122692,single_train,single,which,lookup
122694,single_train,single,how_many,reasoning
122685,single_train,single,which,lookup
147366,single_train,single,which,lookup
147365,single_train,single,which,lookup
147367,single_train,single,which,lookup
147370,single_train,single,what,lookup
147368,single_train,single,how_many,reasoning
48068,single_train,single,which,lookup
48066,single_train,single,list,lookup
48067,single_train,single,which,lookup
48069,single_train,single,other,lookup
48071,single_train,single,how_many,lookup
48072,single_train,single,how_many,lookup
48074,single_train,single,how_many,reasoning
48070,single_train,single,how_many,lookup
7413,single_train,single,how_many,reasoning
7409,single_train,single,how_many,reasoning
7411,single_train,single,which,lookup
7410,single_train,single,which,lookup
7406,single_train,single,which,lookup
7415,single_train,single,how_many,reasoning
7412,single_train,single,which,lookup
7407,single_train,single,which,lookup
7408,single_train,single,which,lookup
38019,single_train,single,how_many,reasoning
38024,single_train,single,which,reasoning
38020,single_train,single,how_many,lookup
38018,single_train,single,what,reasoning
38025,single_train,single,what,lookup
38022,single_train,single,how_many,reasoning
110248,single_train,single,which,reasoning
110249,single_train,single,other,lookup
110246,single_train,single,other,reasoning
110255,single_train,single,how_many,reasoning
110252,single_train,single,what,lookup
110251,single_train,single,how_many,reasoning
110250,single_train,single,which,reasoning
110247,single_train,single,which,lookup
66089,single_train,single,which,reasoning
66086,single_train,single,how_many,lookup
66085,single_train,single,compare,lookup
66091,single_train,single,what,lookup
66090,single_train,single,which,lookup
66094,single_train,single,how_many,reasoning
66084,single_train,single,which,lookup
66088,single_train,single,how_many,lookup
66087,single_train,single,how_many,reasoning
49155,single_train,single,which,lookup
49160,single_train,single,how_many,lookup
49161,single_train,single,how_many,reasoning
49159,single_train,single,how_many,lookup
49156,single_train,single,which,reasoning
49158,single_train,single,how_many,lookup
49154,single_train,single,which,lookup
49157,single_train,single,which,lookup
71130,single_train,single,which,lookup
71128,single_train,single,which,lookup
71129,single_train,single,how_many,reasoning
71127,single_train,single,which,lookup
71131,single_train,single,which,lookup
71126,single_train,single,which,lookup
71132,single_train,single,which,lookup
71133,single_train,single,how_many,reasoning
142966,single_train,single,how_many,reasoning
142960,single_train,single,when,reasoning
142957,single_train,single,how_many,reasoning
142959,single_train,single,how_many,reasoning
142962,single_train,single,how_many,reasoning
142953,single_train,single,which,reasoning
142956,single_train,single,which,reasoning
142958,single_train,single,which,reasoning
142955,single_train,single,how_many,reasoning
142954,single_train,single,which,reasoning
142961,single_train,single,how_many,lookup
142952,single_train,single,how_many,lookup
89753,single_train,single,how_many,reasoning
89756,single_train,single,how_many,reasoning
89754,single_train,single,count,lookup
89752,single_train,single,count,lookup
89755,single_train,single,how_many,lookup
89757,single_train,single,how_many,lookup
89751,single_train,single,which,lookup
89758,single_train,single,how_many,reasoning
31442,single_train,single,how_many,lookup
31445,single_train,single,how_many,reasoning
31441,single_train,single,compare,reasoning
31440,single_train,single,what,lookup
31443,single_train,single,compare,lookup
31439,single_train,single,which,lookup
143643,single_train,single,how_many,reasoning
143641,single_train,single,list,lookup
143648,single_train,single,what,lookup
143645,single_train,single,which,lookup
143646,single_train,single,how_many,reasoning
143642,single_train,single,which,lookup
143647,single_train,single,what,lookup
143644,single_train,single,which,lookup
143640,single_train,single,which,lookup
61285,single_train,single,which,lookup
61281,single_train,single,which,reasoning
61283,single_train,single,which,lookup
61284,single_train,single,other,lookup
61282,single_train,single,which,reasoning
61287,single_train,single,how_many,reasoning
101915,single_train,single,which,lookup
101918,single_train,single,which,lookup
101919,single_train,single,how_many,reasoning
101920,single_train,single,what,lookup
101916,single_train,single,what,reasoning
101917,single_train,single,how_many,reasoning
105056,single_train,single,list,lookup
105057,single_train,single,which,lookup
105052,single_train,single,what,lookup
105058,single_train,single,how_many,reasoning
105053,single_train,single,what,lookup
105055,single_train,single,which,lookup
105051,single_train,single,which,lookup
139775,single_train,single,which,lookup
139781,single_train,single,when,reasoning
139776,single_train,single,how_many,reasoning
139785,single_train,single,how_many,reasoning
139778,single_train,single,which,lookup
